class_counts,image,mask,pair_id,presence_vector
"{""0"": 5732273, ""1"": 866708, ""2"": 823560, ""3"": 989132, ""4"": 692637, ""5"": 139111, ""6"": 22289, ""8"": 2640029, ""9"": 94261}",val-org-img/10781.jpg,val-label-img/10781_lab.png,10781,"[1, 2, 3, 4, 5, 6, 8, 9]"
"{""0"": 9177775, ""5"": 945497, ""8"": 1001174, ""9"": 875554}",val-org-img/10793.jpg,val-label-img/10793_lab.png,10793,"[5, 8, 9]"
"{""0"": 7671418, ""2"": 390712, ""5"": 2328656, ""7"": 1181757, ""8"": 139214, ""9"": 288243}",val-org-img/10803.jpg,val-label-img/10803_lab.png,10803,"[2, 5, 7, 8, 9]"
"{""0"": 12000000}",val-org-img/10834.jpg,val-label-img/10834_lab.png,10834,[]
"{""0"": 8696328, ""5"": 2070702, ""6"": 142299, ""7"": 718847, ""9"": 303281, ""10"": 68543}",val-org-img/10842.jpg,val-label-img/10842_lab.png,10842,"[5, 6, 7, 9, 10]"
"{""0"": 4857016, ""1"": 3438311, ""2"": 1304356, ""3"": 360716, ""4"": 84799, ""5"": 280405, ""8"": 1545793, ""9"": 128604}",val-org-img/10860.jpg,val-label-img/10860_lab.png,10860,"[1, 2, 3, 4, 5, 8, 9]"
"{""0"": 8568757, ""2"": 336074, ""3"": 1474421, ""4"": 319190, ""5"": 377954, ""6"": 73234, ""8"": 461958, ""9"": 388412}",val-org-img/10866.jpg,val-label-img/10866_lab.png,10866,"[2, 3, 4, 5, 6, 8, 9]"
"{""0"": 10261671, ""2"": 42329, ""3"": 885382, ""5"": 804169, ""6"": 6449}",val-org-img/10869.jpg,val-label-img/10869_lab.png,10869,"[2, 3, 5, 6]"
"{""0"": 9174149, ""4"": 1721054, ""8"": 1104797}",val-org-img/10892.jpg,val-label-img/10892_lab.png,10892,"[4, 8]"
"{""0"": 10205066, ""1"": 710049, ""5"": 1084885}",val-org-img/10925.jpg,val-label-img/10925_lab.png,10925,"[1, 5]"
"{""0"": 8643831, ""3"": 2364360, ""6"": 63337, ""8"": 928472}",val-org-img/10942.jpg,val-label-img/10942_lab.png,10942,"[3, 6, 8]"
"{""0"": 6748220, ""1"": 4771299, ""3"": 381926, ""6"": 98555}",val-org-img/10954.jpg,val-label-img/10954_lab.png,10954,"[1, 3, 6]"
"{""0"": 8958897, ""5"": 1797687, ""7"": 1191983, ""10"": 51433}",val-org-img/10963.jpg,val-label-img/10963_lab.png,10963,"[5, 7, 10]"
"{""0"": 10634954, ""5"": 315381, ""7"": 613540, ""9"": 370690, ""10"": 65435}",val-org-img/10966.jpg,val-label-img/10966_lab.png,10966,"[5, 7, 9, 10]"
"{""0"": 11412461, ""5"": 587539}",val-org-img/10968.jpg,val-label-img/10968_lab.png,10968,[5]
"{""0"": 11705592, ""5"": 294408}",val-org-img/10970.jpg,val-label-img/10970_lab.png,10970,[5]
"{""0"": 8630758, ""2"": 352644, ""5"": 537163, ""7"": 1431728, ""8"": 854537, ""9"": 193170}",val-org-img/10985.jpg,val-label-img/10985_lab.png,10985,"[2, 5, 7, 8, 9]"
"{""0"": 4381677, ""1"": 5742306, ""4"": 109620, ""8"": 1684726, ""10"": 81671}",val-org-img/10997.jpg,val-label-img/10997_lab.png,10997,"[1, 4, 8, 10]"
"{""0"": 9559802, ""1"": 172685, ""5"": 1068765, ""8"": 1198748}",val-org-img/11000.jpg,val-label-img/11000_lab.png,11000,"[1, 5, 8]"
"{""0"": 7726033, ""5"": 2991731, ""7"": 28039, ""8"": 1092276, ""9"": 161921}",val-org-img/11005.jpg,val-label-img/11005_lab.png,11005,"[5, 7, 8, 9]"
"{""0"": 4594040, ""1"": 5648752, ""3"": 71875, ""4"": 235760, ""7"": 1449573}",val-org-img/11015.jpg,val-label-img/11015_lab.png,11015,"[1, 3, 4, 7]"
"{""0"": 6124388, ""1"": 1962164, ""3"": 1736246, ""7"": 2177202}",val-org-img/11018.jpg,val-label-img/11018_lab.png,11018,"[1, 3, 7]"
"{""0"": 7424627, ""1"": 1519502, ""2"": 362268, ""5"": 1857563, ""7"": 836040}",val-org-img/11046.jpg,val-label-img/11046_lab.png,11046,"[1, 2, 5, 7]"
"{""0"": 11209467, ""1"": 479796, ""4"": 287151, ""6"": 23586}",val-org-img/11070.jpg,val-label-img/11070_lab.png,11070,"[1, 4, 6]"
"{""0"": 2855273, ""3"": 301830, ""6"": 44854, ""8"": 1388811, ""9"": 7409232}",val-org-img/11072.jpg,val-label-img/11072_lab.png,11072,"[3, 6, 8, 9]"
