class_counts,image,mask,pair_id,presence_vector,rank,selection_seed
"{""0"": 12000000}",val-org-img/12915.jpg,val-label-img/12915_lab.png,12915,[],1,20260910
"{""0"": 11909363, ""1"": 90637}",val-org-img/13452.jpg,val-label-img/13452_lab.png,13452,[1],2,20260910
"{""0"": 9930456, ""1"": 1881761, ""2"": 187783}",val-org-img/13563.jpg,val-label-img/13563_lab.png,13563,"[1, 2]",3,20260910
"{""0"": 4092740, ""1"": 6957796, ""2"": 233587, ""3"": 529880, ""4"": 185997}",val-org-img/11275.jpg,val-label-img/11275_lab.png,11275,"[1, 2, 3, 4]",4,20260910
"{""0"": 5501942, ""1"": 253420, ""2"": 36642, ""3"": 89996, ""4"": 846119, ""5"": 166195, ""6"": 54040, ""7"": 2648867, ""8"": 2402779}",val-org-img/13049.jpg,val-label-img/13049_lab.png,13049,"[1, 2, 3, 4, 5, 6, 7, 8]",5,20260910
"{""0"": 5732273, ""1"": 866708, ""2"": 823560, ""3"": 989132, ""4"": 692637, ""5"": 139111, ""6"": 22289, ""8"": 2640029, ""9"": 94261}",val-org-img/10781.jpg,val-label-img/10781_lab.png,10781,"[1, 2, 3, 4, 5, 6, 8, 9]",6,20260910
"{""0"": 9367222, ""1"": 456141, ""2"": 637217, ""3"": 768931, ""4"": 236881, ""5"": 166651, ""7"": 265862, ""10"": 101095}",val-org-img/13743.jpg,val-label-img/13743_lab.png,13743,"[1, 2, 3, 4, 5, 7, 10]",7,20260910
"{""0"": 4857016, ""1"": 3438311, ""2"": 1304356, ""3"": 360716, ""4"": 84799, ""5"": 280405, ""8"": 1545793, ""9"": 128604}",val-org-img/10860.jpg,val-label-img/10860_lab.png,10860,"[1, 2, 3, 4, 5, 8, 9]",8,20260910
"{""0"": 5819302, ""1"": 2756955, ""2"": 583267, ""3"": 1439407, ""4"": 214857, ""6"": 41914, ""7"": 368167, ""8"": 726615, ""10"": 49516}",val-org-img/11451.jpg,val-label-img/11451_lab.png,11451,"[1, 2, 3, 4, 6, 7, 8, 10]",9,20260910
"{""0"": 9089447, ""1"": 603752, ""2"": 396954, ""3"": 548100, ""4"": 297822, ""6"": 40288, ""7"": 931538, ""10"": 92099}",val-org-img/15820.jpg,val-label-img/15820_lab.png,15820,"[1, 2, 3, 4, 6, 7, 10]",10,20260910
"{""0"": 4018610, ""1"": 3780449, ""2"": 250853, ""3"": 544677, ""4"": 727980, ""6"": 57940, ""8"": 201317, ""9"": 2418174}",val-org-img/11725.jpg,val-label-img/11725_lab.png,11725,"[1, 2, 3, 4, 6, 8, 9]",11,20260910
"{""0"": 6161299, ""1"": 2899443, ""2"": 533884, ""3"": 688350, ""4"": 49001, ""6"": 82038, ""8"": 1543282, ""10"": 42703}",val-org-img/11452.jpg,val-label-img/11452_lab.png,11452,"[1, 2, 3, 4, 6, 8, 10]",12,20260910
"{""0"": 2081127, ""1"": 8976602, ""2"": 191136, ""3"": 580999, ""4"": 88595, ""8"": 81541}",val-org-img/11337.jpg,val-label-img/11337_lab.png,11337,"[1, 2, 3, 4, 8]",13,20260910
"{""0"": 6256691, ""1"": 1, ""2"": 272243, ""3"": 998235, ""4"": 301875, ""9"": 4047052, ""10"": 123903}",val-org-img/13082.jpg,val-label-img/13082_lab.png,13082,"[1, 2, 3, 4, 9, 10]",14,20260910
"{""0"": 9392785, ""1"": 478236, ""2"": 388190, ""3"": 507976, ""5"": 158452, ""6"": 104982, ""7"": 969379}",val-org-img/14881.jpg,val-label-img/14881_lab.png,14881,"[1, 2, 3, 5, 6, 7]",15,20260910
"{""0"": 5976100, ""1"": 100128, ""2"": 95060, ""3"": 251661, ""5"": 300865, ""6"": 76206, ""7"": 984587, ""9"": 4215393}",val-org-img/14852.jpg,val-label-img/14852_lab.png,14852,"[1, 2, 3, 5, 6, 7, 9]",16,20260910
"{""0"": 9933176, ""1"": 129342, ""2"": 116068, ""3"": 489992, ""5"": 255744, ""7"": 1075678}",val-org-img/14877.jpg,val-label-img/14877_lab.png,14877,"[1, 2, 3, 5, 7]",17,20260910
"{""0"": 5068486, ""1"": 3387995, ""2"": 746066, ""3"": 1275239, ""6"": 296690, ""7"": 1225524}",val-org-img/11177.jpg,val-label-img/11177_lab.png,11177,"[1, 2, 3, 6, 7]",18,20260910
