target_id,pair_id,region_label,pixel_u,pixel_v,area_m2,damage_class,lat,lon,utm_e,utm_n,x_m,y_m,merged_from
10781-r01,10781,1,1223,109,56.297,5,29.95235708,-85.42833681,651665.24,3314544.887,75.656,1420.493,10781-r01
10781-r02,10781,2,3418,1662,453.355,4,29.95280783,-85.42855159,651643.827,3314594.559,60.81,1454.932,10781-r02
10781-r03,10781,3,1129,2738,227.248,4,29.95275182,-85.42802837,651694.409,3314589.044,95.88,1451.108,10781-r03
10860-r01,10860,1,1672,426,145.98,3,29.95310471,-85.42600265,651889.378,3314630.835,231.056,1480.083,10860-r01
10860-r02,10860,2,414,1601,34.318,4,29.95315768,-85.42564906,651923.422,3314637.173,254.66,1484.477,10860-r02
10860-r03,10860,3,602,2071,113.478,5,29.95324771,-85.42562806,651925.313,3314647.179,255.971,1491.415,10860-r03
11046-r01,11046,1,2876,419,240.3,5,29.95274053,-85.42900811,651599.869,3314586.497,30.333,1449.342,11046-r01
11046-r02,11046,2,1114,1719,200.989,5,29.9527057,-85.42946198,651556.119,3314582.038,0.0,1446.251,11046-r02
11046-r03,11046,3,3687,2334,307.994,5,29.95236777,-85.42907156,651594.311,3314545.101,26.48,1420.641,11046-r03
11113-r01,11113,1,2782,1726,312.133,4,29.9533453,-85.42191361,652283.65,3314662.92,504.414,1502.328,11113-r01
11125-r01,11125,1,1717,2589,187.631,5,29.95340769,-85.42232946,652243.421,3314669.282,476.522,1506.739,11125-r01
11160-r01,11160,1,2062,336,72.478,3,29.95340834,-85.42275202,652202.638,3314668.794,448.247,1506.401,11160-r01
11160-r02,11160,2,3631,1065,53.717,3,29.95325263,-85.42306183,652172.975,3314651.125,427.68,1494.151,11160-r02
11160-r03,11160,3,3813,1993,175.773,3,29.95332186,-85.42324047,652155.629,3314658.561,415.654,1499.306,11160-r03
11160-r04,11160,4,2719,1992,319.119,3,29.95348293,-85.42311028,652167.949,3314676.586,424.196,1511.803,11160-r04
11177-r01,11177,1,2062,1344,308.929,3,29.95310657,-85.42267133,652210.885,3314635.456,453.964,1483.287,11177-r01
11177-r02,11177,2,808,1526,198.958,3,29.95290121,-85.42278548,652200.181,3314612.546,446.543,1467.402,11177-r02
11275-r01,11275,1,1148,874,74.077,4,29.95274369,-85.42324489,652156.083,3314594.478,415.969,1454.876,11275-r01
11275-r02,11275,2,1438,1861,142.222,3,29.95280281,-85.42344647,652136.538,3314600.763,402.418,1459.233,11275-r02
11275-r03,11275,3,1157,2892,68.812,3,29.9529507,-85.4235878,652122.673,3314616.966,392.805,1470.467,11275-r03
