alert_count,failed_edge_count,ground_connected_source_fraction,node_count,replicate,scenario_id,scenario_seed,sha256,split,topology_id
40,12,0.412698,25,0,Agis-r0,15566494339613965040,d88521cd5213144214308060f1d778adeb22f446502a43e50e50d0ca22d1fe3f,eval,Agis
40,9,0.111111,25,1,Agis-r1,16323045806345540192,09ed466dee29c96ee9768ce55c13e9633b9b27708ab5d0e8aae5d2bba3f48c05,eval,Agis
40,10,0.301587,25,2,Agis-r2,17969966737673119908,49f77d19a8bcaea1bcb38a1cf9549be1d8e1f07b2fd9a3a10e46a9e95ac80b39,eval,Agis
40,4,0.380952,27,0,Bbnplanet-r0,4258277787877543916,5f8fd33638428970ff0b5cd583022c31fb0b1960d646cbbb0eca1d23d777fe43,dev,Bbnplanet
40,5,0.349206,27,1,Bbnplanet-r1,6938569428179988182,e904f1e8eab0fb60a40bc1c5125b6954456679c7b191ce11e568e7cafc7ea381,dev,Bbnplanet
40,6,0.793651,21,0,Belnet2008-r0,15286802624455833325,13d2cc0697b38596220ef5b15430b2fe34f8802502e26c30022833722d8c3bc1,eval,Belnet2008
40,8,0.349206,21,1,Belnet2008-r1,871697653947309889,ee2e2987089591eeb539cc4405c729dadd52acca1a651067d7a2b144256e9af2,eval,Belnet2008
40,4,0.873016,21,2,Belnet2008-r2,16180033288022385135,39d1962af76368534ce16921ea298891101a3fd148b58d9ee7270d7a82b083ec,eval,Belnet2008
40,4,0.412698,18,0,BsonetEurope-r0,11115118226998395478,8043530755343bd9d40d7e586809a357ef5679596874894517467c3721cb9b6e,eval,BsonetEurope
40,6,0.396825,18,1,BsonetEurope-r1,7815623503489987564,c8946660f9309e5e44cce1e9a7f88a517cb78bbe4e486d90a103046cb16aabdc,eval,BsonetEurope
40,5,0.412698,18,2,BsonetEurope-r2,1140146593298868457,e963c29ec3ee42332caa4bc52c48d6b4c844faf29d68d9800634e5375402ada6,eval,BsonetEurope
40,15,0.412698,36,0,BtNorthAmerica-r0,14150741444119254475,1b384796f88eec4aff3fa8a3121dda454a490c2972c03fc4a643332eaed7a83c,eval,BtNorthAmerica
