alert_count,failed_edge_count,ground_connected_source_fraction,node_count,replicate,scenario_id,scenario_seed,sha256,split,topology_id
20,8,0.466667,25,0,Agis-r0,15566494339613965040,b656e06711eb8c0e3449f859b7215ab7be2a2674f15d9300a3630b483b13acd0,eval,Agis
20,3,0.4,25,1,Agis-r1,16323045806345540192,8e3127bfba18bd45ee5336887b62cbfb3d6922121fdac9254b58f33099d98dc4,eval,Agis
20,10,0.933333,25,2,Agis-r2,17969966737673119908,118e5c8f1eff9044d78278a655b88be46cbb5b838364e524632706ac6d64d49a,eval,Agis
20,8,0.333333,27,0,Bbnplanet-r0,4258277787877543916,428b8e15ffb05f768b6627693d853535b52c37f88866e9dec6ab55bbb7afdf9a,dev,Bbnplanet
20,14,0.666667,27,1,Bbnplanet-r1,6938569428179988182,e0e3229b555e7c4b999f819e2708873f084aa413b2b505f80173aee7939cd9d7,dev,Bbnplanet
20,7,0.666667,21,0,Belnet2008-r0,15286802624455833325,e32dce44cc2ffff0d73db49992caa817c8f0ebd561e16dacd13242cc63676d20,eval,Belnet2008
20,8,0.333333,21,1,Belnet2008-r1,871697653947309889,56e78c4e8b87dc9f510d0b989bb531e8761f9ab4867ec4d98ff0b2674664add6,eval,Belnet2008
20,2,0.8,21,2,Belnet2008-r2,16180033288022385135,01320a796fe11965d84d077f9de18556acd30d9f2b99d1cf02ce1255e9819985,eval,Belnet2008
20,5,0.533333,18,0,BsonetEurope-r0,11115118226998395478,6e1347445f3247b264fe60ea1f99a4850735833495df2f98dee72f2091a29e28,eval,BsonetEurope
20,2,0.533333,18,1,BsonetEurope-r1,7815623503489987564,8b9956de0d6bd515fdb67d2b54fe07ae3b6c4e89ab19ec66818a0c9a61b03b34,eval,BsonetEurope
20,10,0.333333,18,2,BsonetEurope-r2,1140146593298868457,32841b6bfedc892ba52281a9bc30f24c023b2735f1f52269107fbd3786f39df9,eval,BsonetEurope
20,19,0.333333,36,0,BtNorthAmerica-r0,14150741444119254475,ed41c61abb04faa71a614c3078b4a0a14ae08c2f41ee72b8b9754d10929f83cd,eval,BtNorthAmerica
20,16,1.0,36,1,BtNorthAmerica-r1,3401516565899209509,8d110dbad36a9ce3e9ada213de8768f91a267d2225fa33783e1e98cc5dd68a46,eval,BtNorthAmerica
20,12,0.333333,36,2,BtNorthAmerica-r2,10094003056187242629,7ffb7dd86dd5ed4d1119134e8ee8df8e1e315a7f7db3c1251d8dfc385dafe759,eval,BtNorthAmerica
20,16,0.6,32,0,Canerie-r0,4120132187390513045,722b6a110beaafe196507c12c3e5283e052286560a94d49fcdfea3658b4032fb,dev,Canerie
20,13,0.866667,32,1,Canerie-r1,7139684576512261099,d2b31659fa9372d5d940fc966dc15f53fc8585643885875630c06b47da6c13d4,dev,Canerie
20,7,0.4,39,0,Cesnet200603-r0,726445141633008049,2d8246c2d250029bde70976b99e5143789619a2fed9347cd553443547c0f9ff9,eval,Cesnet200603
20,9,0.666667,39,1,Cesnet200603-r1,4289116980301350753,b4f1d9cb9abfd6ee92836d08ce29ad2cc0813e2f4bf0e2e3e69cebeee76cafbc,eval,Cesnet200603
20,4,0.666667,39,2,Cesnet200603-r2,5195842168826478650,1e3feede47cf8cd54ab7cff259cb879116f357727d3b3b369c776eef46836fc1,eval,Cesnet200603
20,5,0.533333,31,0,Digex-r0,10800825765349067673,ac533951c81f74ea09ac79d037ccab69e569fcb78ced2dc0467772ee544a8067,eval,Digex
20,11,0.333333,31,1,Digex-r1,4553592903677592101,d0e89fc055fe1a6c9ffd74ae01a27b50d78ed4d626ca98117713f6115a5960ff,eval,Digex
20,3,0.133333,31,2,Digex-r2,6101143522438592080,d04a4ff9bab5d4ad386b98922044b1d41a7647624fc724baa51f832421fb12c6,eval,Digex
20,2,0.133333,19,0,Easynet-r0,581655527901723507,f035be965389b2ffe04c352150ba9e798208c26328792c12caae2ceee34566c1,eval,Easynet
20,4,0.266667,19,1,Easynet-r1,8614890416410480799,1b3b9787f7fe1062aaa6c27ebe46ef568ad268da074b12f39549db512deaff4d,eval,Easynet
20,1,0.066667,19,2,Easynet-r2,17563095875052674419,2a2578badc3827940053f146e9e0e9566013321d2ac246e193857dd55be7150e,eval,Easynet
20,0,0.0,23,0,Fccn-r0,17530973596694264253,06d833300311517f47e29325afc4da44f7deb08d4833db5cb66f0f315342400e,dev,Fccn
20,4,0.466667,23,1,Fccn-r1,18348383631147861382,996f3e2179390a3f97ab7773b4336981e31f24208194c1ca0f9627acd73b0d37,dev,Fccn
20,2,0.6,24,0,Garr200112-r0,11364974108254927058,a0b690393ba822d09da6cff54059109794614b09dc36e7fb693b01c6b7597303,eval,Garr200112
20,9,0.533333,24,1,Garr200112-r1,2434035492255571931,f0f452f2b26fd8c98deb96f0cde60c3bbe1c7e8b9a542839c43ba398a2f5c6ee,eval,Garr200112
20,4,0.8,24,2,Garr200112-r2,10068894956960023315,c8bf564582c694d375831b69dc14c08f3dedce58ebb78c03d823b0207822a449,eval,Garr200112
20,5,0.6,22,0,Garr200404-r0,198101169295225296,861ab9a761a5404523209c5ddf6f8a8465043238b790be1b8eb9774256583ec3,eval,Garr200404
20,5,0.666667,22,1,Garr200404-r1,7024765275165438631,f215ee38cdd73d45e4550f35d15260060c3b8c89e9cd26a37008e6f389a81f1c,eval,Garr200404
20,10,0.666667,22,2,Garr200404-r2,11642824855973204170,70b21823f6d112a3ea032f01c0bd15aec18a0b5c38c42f15f20250f1973a5177,eval,Garr200404
20,4,0.333333,16,0,Marwan-r0,4873392028476308933,3c3fb0a88a0702a14ac8756b9d00b80f2a712dd326625c195b958a8c2a45967a,eval,Marwan
20,3,0.6,16,1,Marwan-r1,17084842736408766793,9cb4bb80024b0ebf6e8470d8ef5c7aadd57597e37a851072f50bf8a9b8c41fbe,eval,Marwan
20,2,0.6,16,2,Marwan-r2,11081879841179557546,58f412c29198291aa70249e44118ff5196118ea911d9663743a1ba988ffd676e,eval,Marwan
