alert_count,failed_edge_count,ground_connected_source_fraction,node_count,replicate,scenario_id,scenario_seed,sha256,split,topology_id
40,8,0.466667,25,0,Agis-r0,15566494339613965040,a28b5716172fada80471985cd7adf4bbd30a42dd18d6f13033f34f4dd1c6c6aa,eval,Agis
40,3,0.4,25,1,Agis-r1,16323045806345540192,b0fe775262128e8478a0d5af8f2436ab10067a98267dcee412750f35b29254b9,eval,Agis
40,10,0.933333,25,2,Agis-r2,17969966737673119908,4d09b38997e86bfa65a9659e66ecf1e2c595389a7c5a3bd907c99e8823325bea,eval,Agis
40,8,0.333333,27,0,Bbnplanet-r0,4258277787877543916,5fd75202c6ccee63d0932363e1f1c0dd47f5be603d4d68c732f6e1c93e57aa14,dev,Bbnplanet
40,14,0.666667,27,1,Bbnplanet-r1,6938569428179988182,6f76d498db8232f0c0435979971150be7411cf08e0bd211025d8ee2e3e9496d9,dev,Bbnplanet
40,7,0.666667,21,0,Belnet2008-r0,15286802624455833325,f1f6b1926c8952d381b74343cc430401bddcbd999149ffdb4025ba2121a54c78,eval,Belnet2008
40,8,0.333333,21,1,Belnet2008-r1,871697653947309889,0e02efe61fa8c2b9fb9bab501a69bc4b39ee09a2af95c5e9c59186bef3aa6ad8,eval,Belnet2008
40,2,0.8,21,2,Belnet2008-r2,16180033288022385135,cfc76fa0fa169dd1333abd239e9fe456689addd089fdddbb0df04f95bce90075,eval,Belnet2008
40,5,0.533333,18,0,BsonetEurope-r0,11115118226998395478,53ab9032c360c74c036532c03233a07ed62cb8b8c90ab6fb43e59c47350d3c5b,eval,BsonetEurope
40,2,0.533333,18,1,BsonetEurope-r1,7815623503489987564,259d2fe590ca5686a05f3e36996930ba9a00c16096ea8faf93aea94e1caa708d,eval,BsonetEurope
40,10,0.333333,18,2,BsonetEurope-r2,1140146593298868457,27df8fc1b623daac6fff0b04699dddd691c77b4c880d852f1630c25f7d46680e,eval,BsonetEurope
40,19,0.333333,36,0,BtNorthAmerica-r0,14150741444119254475,356e076ddda95a15d202fcf8fe346c69005e8b408efdf05e83ff39d370932067,eval,BtNorthAmerica
40,16,1.0,36,1,BtNorthAmerica-r1,3401516565899209509,c54aa76986757282f90117958b61db9b73ca5ccf9defacdeeb65ce1e4472d0ee,eval,BtNorthAmerica
40,12,0.333333,36,2,BtNorthAmerica-r2,10094003056187242629,9a7ed20728212dda6a633bb04e4356519a65fdedac3f4568635572f198560330,eval,BtNorthAmerica
40,16,0.6,32,0,Canerie-r0,4120132187390513045,54e6e3639cb401132890826f42cc101e5cc9ede7045f82cb7760e2ef43b5b7a6,dev,Canerie
40,13,0.866667,32,1,Canerie-r1,7139684576512261099,c34c72075eef3cb729f2c732baf33d1379a7ec1369d37e04f0a8bd8ad6258ef2,dev,Canerie
40,7,0.4,39,0,Cesnet200603-r0,726445141633008049,c15cda83798236b93f77bb48e488319d2bc7ba401fdbc3fbf993a131d3c99d31,eval,Cesnet200603
40,9,0.666667,39,1,Cesnet200603-r1,4289116980301350753,d8a281d9beccaa69c1ce9bed7e21e8658ee95dde7d07f0f3c409df7eb0c08c83,eval,Cesnet200603
40,4,0.666667,39,2,Cesnet200603-r2,5195842168826478650,660a2e64e24704aa70953161ad04b07b5487c739f0ca48fb8c6a37f696f5f265,eval,Cesnet200603
40,5,0.533333,31,0,Digex-r0,10800825765349067673,864433ec4c3d4c4430dd578237c3bfeca59b13698da190946befb1bfca77a9bb,eval,Digex
40,11,0.333333,31,1,Digex-r1,4553592903677592101,552a07d26294eba237dc29ba810ff09978c30cdbd916d449abc1290c4b9a3b2e,eval,Digex
40,3,0.133333,31,2,Digex-r2,6101143522438592080,85873205b5f8376fb7127b9a08a3e23d060e05efa5c1ab91d1a19a6f4fba9a2f,eval,Digex
40,2,0.133333,19,0,Easynet-r0,581655527901723507,9b641cc27245390382d0fc7cd3427d26a3df5d909242b7f87266a063b05f4437,eval,Easynet
40,4,0.266667,19,1,Easynet-r1,8614890416410480799,573d6859c72dfc677e43f665bcb7a5b36f405d6be60d9b4aaa5081adfda59248,eval,Easynet
