alert_count,failed_edge_count,ground_connected_source_fraction,node_count,replicate,scenario_id,scenario_seed,sha256,split,topology_id
40,8,0.466667,25,0,Agis-r0,15566494339613965040,32e1a8a75587aab0661d9f78a6427e2832b183c50b84f392ce283629390a06bc,eval,Agis
40,3,0.4,25,1,Agis-r1,16323045806345540192,f5a00224587f64989d5e9e37ce341af7a8f69b14c8e70275d9275a03a2968e23,eval,Agis
40,10,0.933333,25,2,Agis-r2,17969966737673119908,9ed35451432fdf3a3b80d8e2fac5b6394888ef37ecc7573dceefb7f98dfe1c8b,eval,Agis
40,8,0.333333,27,0,Bbnplanet-r0,4258277787877543916,93fc2c59de079be37e8edc8e619e855c68080e40e196fe47e21469e32593814a,dev,Bbnplanet
40,14,0.666667,27,1,Bbnplanet-r1,6938569428179988182,74588d75f58d6f66e4114d99f9805eaf9cf221d3def49ee8e993fc23623d0db6,dev,Bbnplanet
40,7,0.666667,21,0,Belnet2008-r0,15286802624455833325,323c17d6d5177d01393de508d69c2625846477881d053e04b4ad0cc211fa8dbc,eval,Belnet2008
40,8,0.333333,21,1,Belnet2008-r1,871697653947309889,8e53e4fe9b418984464c44c5b1c07d217ae3260e531387d8d9c5235d49d43d6d,eval,Belnet2008
40,2,0.8,21,2,Belnet2008-r2,16180033288022385135,d426a0f50dd2b5be7dd5498e22d4a7d19fb376596c2e5b54d316104246029ee1,eval,Belnet2008
40,5,0.533333,18,0,BsonetEurope-r0,11115118226998395478,8ea61078c0c4e1e1c9a511512315b3b451696f4dc58e64cfbde1ec772393b2ca,eval,BsonetEurope
40,2,0.533333,18,1,BsonetEurope-r1,7815623503489987564,c4934b9dcd8b51c844a3d6f9a9061a246f3860be21e9ca35e76d838ec5d7006f,eval,BsonetEurope
40,10,0.333333,18,2,BsonetEurope-r2,1140146593298868457,0eda2032867a1b576c234205b22b827630b53255221aa846254104a87550a281,eval,BsonetEurope
40,19,0.333333,36,0,BtNorthAmerica-r0,14150741444119254475,cea1d2bef9eacc0226d70777ec9b256930bcdc4efb33f64d1dd24424f993e235,eval,BtNorthAmerica
40,16,1.0,36,1,BtNorthAmerica-r1,3401516565899209509,c812ba1943bab3419c88c25d2842a01476fcb3c5924a11d8e3c733333acaf0d5,eval,BtNorthAmerica
40,12,0.333333,36,2,BtNorthAmerica-r2,10094003056187242629,9837ebf159c9d16c932e373bb5c6448fad9b5547e5c8ff176d331a1f5d414b6c,eval,BtNorthAmerica
40,16,0.6,32,0,Canerie-r0,4120132187390513045,8b882495073e510a3f58b5744bf404d8f5216426727f9540bc883ef79cd17353,dev,Canerie
40,13,0.866667,32,1,Canerie-r1,7139684576512261099,42fe2ec07814ebad65d0822eb4530d93c803dc4bfe9f74a9bf79ffd6c3313b65,dev,Canerie
40,7,0.4,39,0,Cesnet200603-r0,726445141633008049,f5b60a31959c7dcb67c3d4df5eb96d2d30be9ea10e7faa3f6b8b80f3726e07cd,eval,Cesnet200603
40,9,0.666667,39,1,Cesnet200603-r1,4289116980301350753,dc64b3d0b682db8381f18c87990ebe121759c557f7b4bbcc537d0183fef0493f,eval,Cesnet200603
40,4,0.666667,39,2,Cesnet200603-r2,5195842168826478650,5e213df80cc92c6c93848eeff92811b9513eafc664f8edcc24fcc6ac846f7b22,eval,Cesnet200603
40,5,0.533333,31,0,Digex-r0,10800825765349067673,91805040e17259a451c78cbac6266562943929c3aa6d21fdf9ef3372d9994049,eval,Digex
