alert_count,failed_edge_count,ground_connected_source_fraction,node_count,replicate,scenario_id,scenario_seed,sha256,split,topology_id
40,8,0.466667,25,0,Agis-r0,15566494339613965040,98beb769c3a65e88be4091cb46723925fbc25314a137739b4c6433310e41aa45,eval,Agis
40,3,0.4,25,1,Agis-r1,16323045806345540192,ac0adbd7d92c4658e85573490f10d991c3781121fcf5c39fb42fa0f854b919f3,eval,Agis
40,10,0.933333,25,2,Agis-r2,17969966737673119908,b60c6a53c4c5897ed0107b59c9e60c5015c8de284d8ff234530d4cb4cb704654,eval,Agis
40,8,0.333333,27,0,Bbnplanet-r0,4258277787877543916,8944f022997ccb6a61931ad03d698acac402f958da4942b773008a386c270dae,dev,Bbnplanet
40,14,0.666667,27,1,Bbnplanet-r1,6938569428179988182,2d92879970bb9b00e28f4da848c3a1c2e4619b10c03724c2ff76020f5341820f,dev,Bbnplanet
40,7,0.666667,21,0,Belnet2008-r0,15286802624455833325,0fccba71ecdb3ca26eff63b3f841d72f16f8d907c920ce20346dc84ae68e9a7d,eval,Belnet2008
40,8,0.333333,21,1,Belnet2008-r1,871697653947309889,50288fe68000511a8a1c9491b25a2528642cfc5583cc57dc077becbe0f539a20,eval,Belnet2008
40,2,0.8,21,2,Belnet2008-r2,16180033288022385135,95da96bd2928aed7fd3e17e30232cc582d157302890269f94579f92ed0f879b8,eval,Belnet2008
40,5,0.533333,18,0,BsonetEurope-r0,11115118226998395478,1e695d363e5a1d89af3032aeef483cd6ffa5497202fca15488f023561bcd264a,eval,BsonetEurope
40,2,0.533333,18,1,BsonetEurope-r1,7815623503489987564,146dc8397c998b445eec33cb1997c5603ae3f7d823d6dda11764bdfb234aaeb9,eval,BsonetEurope
40,10,0.333333,18,2,BsonetEurope-r2,1140146593298868457,1959a085e51e23932de23f8da48cbf0f5349b92f5f71a4959e8254d0b019791e,eval,BsonetEurope
40,19,0.333333,36,0,BtNorthAmerica-r0,14150741444119254475,b2135a1db2208c9f1cafe867eef5cf8b15a270094d72136e1850b56ce9dec161,eval,BtNorthAmerica
40,16,1.0,36,1,BtNorthAmerica-r1,3401516565899209509,f548ac118ec35c549fda2c093a39c4ccdea908158400dd33b91dd7f233548113,eval,BtNorthAmerica
40,12,0.333333,36,2,BtNorthAmerica-r2,10094003056187242629,77eed0332a7299aeb643934e1639ef0d50f47e9e0d1ed40e955a408621b75e56,eval,BtNorthAmerica
40,16,0.6,32,0,Canerie-r0,4120132187390513045,c66e2d8c18b8f0e1cc5c5fe105d812e10f680d23b57fcc64361e7bb1f5a29736,dev,Canerie
40,13,0.866667,32,1,Canerie-r1,7139684576512261099,e8ed52cc916dd6a4fd6004aac8cbbd60bc0296988da1573973c6423d609b5792,dev,Canerie
