alert_count,failed_edge_count,ground_connected_source_fraction,node_count,replicate,scenario_id,scenario_seed,sha256,split,topology_id
40,8,0.466667,25,0,Agis-r0,15566494339613965040,6cf6b5b7db3d4e9bd6781b006ebe8948aa58181bf83b2efe68eb901c9fc3b1d8,eval,Agis
40,3,0.4,25,1,Agis-r1,16323045806345540192,31ccde77b41b159e387dac156ed0bda17f1f5b296ce4e74c8c895232f79b2be6,eval,Agis
40,10,0.933333,25,2,Agis-r2,17969966737673119908,b005a91a85f168163bbc4f840359ef9066919b139659e88c3a9f37b57aeb7ac9,eval,Agis
40,8,0.333333,27,0,Bbnplanet-r0,4258277787877543916,e2941970e19b782bb00b518cf675fb3e34bfd651ce64d40bdda795a068c6d962,dev,Bbnplanet
40,14,0.666667,27,1,Bbnplanet-r1,6938569428179988182,34241078253d2eeea21b08ac856f35e2fb0885e71ac2a460c93e40cda904d580,dev,Bbnplanet
40,7,0.666667,21,0,Belnet2008-r0,15286802624455833325,1f65d62abdc3be6080f0686289c79203df52739e1cc689c29867eb0a9dc13335,eval,Belnet2008
40,8,0.333333,21,1,Belnet2008-r1,871697653947309889,ba8b5dec3cd46898b1636036e82f873bd23925bd067d4be91392c8dd0c749e5e,eval,Belnet2008
40,2,0.8,21,2,Belnet2008-r2,16180033288022385135,39bdea3fe3d9a08062ef7d4ce00f3fef7e12cd71815c82ee37795753affd7218,eval,Belnet2008
40,5,0.533333,18,0,BsonetEurope-r0,11115118226998395478,b5470be1e0f050d82abf6f38c2c29d53180bcb48f82d031bed1c2b4ea8fbc3ca,eval,BsonetEurope
40,2,0.533333,18,1,BsonetEurope-r1,7815623503489987564,55d632e7163e00d526f05af1bbd086b7b13c90631d06c38edd28cf1f8c984168,eval,BsonetEurope
40,10,0.333333,18,2,BsonetEurope-r2,1140146593298868457,0f2f2db3408cfe7bbe183fca2951195dba89b41136967cc80c789975c71cdf56,eval,BsonetEurope
40,19,0.333333,36,0,BtNorthAmerica-r0,14150741444119254475,be7d77233c8e7f0b5f8759616c18b899eabe9d08ea38808bc6ac676d8947b36a,eval,BtNorthAmerica
40,16,1.0,36,1,BtNorthAmerica-r1,3401516565899209509,fa559c3674ba7333759ff11fe179624acc83fb480d9f9d87de42733ed8d04875,eval,BtNorthAmerica
40,12,0.333333,36,2,BtNorthAmerica-r2,10094003056187242629,d1e12caddbd7bae88dbe6a09b85ca33a2151477ff85bb4f860928487c803c076,eval,BtNorthAmerica
40,16,0.6,32,0,Canerie-r0,4120132187390513045,b38362d7a41e2b94a55bba80687fe4e6f382dc10fbcb6c83d7af3e8009c6366e,dev,Canerie
40,13,0.866667,32,1,Canerie-r1,7139684576512261099,b1ded88480cb3279ee34257f9e7e62292b80e0408e2eb3b524b82d62c29cc56c,dev,Canerie
40,7,0.4,39,0,Cesnet200603-r0,726445141633008049,10b2a9e1668b5578023bae2f869eea6aa95fc523768a0cd5dd16e5bb86fb6663,eval,Cesnet200603
40,9,0.666667,39,1,Cesnet200603-r1,4289116980301350753,93be82732168556ec0d25f0cad7e5098453fca6be0d80ca98a5929e412d8e4fd,eval,Cesnet200603
40,4,0.666667,39,2,Cesnet200603-r2,5195842168826478650,7b06118de047629f3da041a6f748b35c0a6f55de9dc06b8eadd8e5c2f1fbc250,eval,Cesnet200603
40,5,0.533333,31,0,Digex-r0,10800825765349067673,22567aa65e7f4db39e7c13464a85639a47a11960d93df9f5d6a50ffd89cb9266,eval,Digex
40,11,0.333333,31,1,Digex-r1,4553592903677592101,332ced5791d45cfd3bffe56ae900636ffe9568de198d05915ba8b5f4e9eebcc9,eval,Digex
40,3,0.133333,31,2,Digex-r2,6101143522438592080,04318f3a3e71906b67a7b923586d2623356bb06031e757c183d141410997c180,eval,Digex
40,2,0.133333,19,0,Easynet-r0,581655527901723507,d01f1561889d2f1e2d945c92a95c4b6e1c1c395626fa470a626021f5af5aa7c5,eval,Easynet
40,4,0.266667,19,1,Easynet-r1,8614890416410480799,48c46acd35e574abb523be2815dfe996dd472eceac1c69c26b8a47931820fe4b,eval,Easynet
40,1,0.066667,19,2,Easynet-r2,17563095875052674419,32f7313e28e9982f6fb40a08c1fc2bd8f95778564f4dd46d0fbb03ccaab5cbb8,eval,Easynet
40,0,0.0,23,0,Fccn-r0,17530973596694264253,2066f725c6ff9c8cb912960d05ea5e17bdd3e8124c30f77ab56bf7d647165f8a,dev,Fccn
40,4,0.466667,23,1,Fccn-r1,18348383631147861382,cc27c5e5be250c1cc83252482853506a249a0e00ac71127c17b21ed71ad7b007,dev,Fccn
40,2,0.6,24,0,Garr200112-r0,11364974108254927058,ce76ace41001064e45de17ba1231f70ed24c935e4bd2aa54ee93a0730c854513,eval,Garr200112
40,9,0.533333,24,1,Garr200112-r1,2434035492255571931,6dcdb7f8a790b82324576b62d9fceab40c5b2697e9d2a79336c5783a04974563,eval,Garr200112
40,4,0.8,24,2,Garr200112-r2,10068894956960023315,9333153f753124cd4fb76370404eb0dcec339f7645bf2df07452aa0d6ddf2e1a,eval,Garr200112
40,5,0.6,22,0,Garr200404-r0,198101169295225296,1505b3e129f409e00790dfa7168d8520af6a233a6cf9dfbbec239d91a8b535b6,eval,Garr200404
40,5,0.666667,22,1,Garr200404-r1,7024765275165438631,74dfac3b0fb59d2e33d5841acf870cd967edecd5ce86981dc2db3458a627b9a4,eval,Garr200404
40,10,0.666667,22,2,Garr200404-r2,11642824855973204170,d86935ea51d53d94ffaf8be0b6a4a846bb39569f8db385a7665f5a7e7f70fb8c,eval,Garr200404
40,4,0.333333,16,0,Marwan-r0,4873392028476308933,fc454b6ac593aa6e58cbb42d800e00607dd4a7379612d7fa042ef04606af40ee,eval,Marwan
40,3,0.6,16,1,Marwan-r1,17084842736408766793,07c0dd13b3d5300618055c3796e2f8c92850e5bebe04239d4aa09de7d9d7592e,eval,Marwan
40,2,0.6,16,2,Marwan-r2,11081879841179557546,0313937d64b8968a48a4323aa2bc5811acf2c2bea678eb189c6d0029b1b21f5d,eval,Marwan
