alert_count,failed_edge_count,ground_connected_source_fraction,node_count,replicate,scenario_id,scenario_seed,sha256,split,topology_id
40,8,0.466667,25,0,Agis-r0,15566494339613965040,7044dd1a3ed104e9e01d3e703f2e3f513ea627f2e926721ab019e40d6562e4e7,eval,Agis
40,3,0.4,25,1,Agis-r1,16323045806345540192,252c2fdf6b03c3a05f21cf298ebc2b004baa46b7c761bbec140cf0ee7a6387c8,eval,Agis
40,10,0.933333,25,2,Agis-r2,17969966737673119908,904b4d54469f551fbb01220ced394ef67286b4b5051b4dcd416c67535b7e1e0c,eval,Agis
40,8,0.333333,27,0,Bbnplanet-r0,4258277787877543916,c28d8a4d0f13120db16bad9dc2a6d63494e87f57b39aeb9b1045bb1dd0098849,dev,Bbnplanet
40,14,0.666667,27,1,Bbnplanet-r1,6938569428179988182,df862327ba5dcdd2e3cc7d97a5052b80995f757f196b3ab8d92d03991cd6c7f1,dev,Bbnplanet
40,7,0.666667,21,0,Belnet2008-r0,15286802624455833325,79658877cab7f3297e237f26339ca1fd526a0f977dedbb80a71bf073aa0cd482,eval,Belnet2008
40,8,0.333333,21,1,Belnet2008-r1,871697653947309889,a14929dec63fac8f91376987e8c16b26f822bd372862733d29c030031e40bd11,eval,Belnet2008
40,2,0.8,21,2,Belnet2008-r2,16180033288022385135,9eca169aaaee382d8d5db5cd4d279882bea0733af57d2406d37b359757828318,eval,Belnet2008
40,5,0.533333,18,0,BsonetEurope-r0,11115118226998395478,c72346e3f13d86087f4b553159c441573a65268f599799fcf1efa020ef19f890,eval,BsonetEurope
40,2,0.533333,18,1,BsonetEurope-r1,7815623503489987564,8b4ee3269c68656976619554e3b11b8bd66a32b2fce7c989cc1a8f581f388661,eval,BsonetEurope
40,10,0.333333,18,2,BsonetEurope-r2,1140146593298868457,e18ed28e7d0acd423e164d70a6a4ae998db153f7b7c6537820bd2586839a3047,eval,BsonetEurope
40,19,0.333333,36,0,BtNorthAmerica-r0,14150741444119254475,9f937e821314bd33c9264f087ba5b8f5b92a3fd70cc33cefffccbec861ced128,eval,BtNorthAmerica
40,16,1.0,36,1,BtNorthAmerica-r1,3401516565899209509,e872dc583c55d67be67327e5a73e90aa122a7bad67664ae49723df4a705480f5,eval,BtNorthAmerica
40,12,0.333333,36,2,BtNorthAmerica-r2,10094003056187242629,ab9c2c7e61f32d6fa7d3ac2d147503307138313d38c33a0e907ade6198b68806,eval,BtNorthAmerica
40,16,0.6,32,0,Canerie-r0,4120132187390513045,0c2e5cbf65630575aeb300e8fc734fee44fc616a8c577af627e1d2c4d55fda36,dev,Canerie
40,13,0.866667,32,1,Canerie-r1,7139684576512261099,382ae59174ee55a835c8cb80d9bebc77d53ed41c40d19a75d5653f4b27929876,dev,Canerie
40,7,0.4,39,0,Cesnet200603-r0,726445141633008049,2ff6655242d0b15ecac7dc27fd08326f34f7ff25c6c7c964eced6b49895a8002,eval,Cesnet200603
40,9,0.666667,39,1,Cesnet200603-r1,4289116980301350753,3180d85b40bad5531b7e0ed8f9d76a5ba0efe84302a8c8f1ea2be92edf0f5ca5,eval,Cesnet200603
40,4,0.666667,39,2,Cesnet200603-r2,5195842168826478650,ad2521cd3ffeb7f4a69fc689123234be4826325e1dc3a20ee65c49c15a317f25,eval,Cesnet200603
40,5,0.533333,31,0,Digex-r0,10800825765349067673,7dad7f82cd4bc7b9d1167e6c3fc325318df3f21e5d4f07d9af50cc54122f2eb8,eval,Digex
