alert_count,failed_edge_count,ground_connected_source_fraction,node_count,replicate,scenario_id,scenario_seed,sha256,split,topology_id
40,8,0.466667,25,0,Agis-r0,15566494339613965040,5eb1ec6f2c33421fb68a8ac21ba0145654efc9b2bfb04b1f59a8325acf86b3fc,eval,Agis
40,3,0.4,25,1,Agis-r1,16323045806345540192,51dfed7c709f0833d3fea94defd8bda36e0d634e16759df0e9ebb670aa6b9092,eval,Agis
40,10,0.933333,25,2,Agis-r2,17969966737673119908,409a6426992338628ef1620a15191dc3b9223c3e3c8c7287a3d47395ccdedb50,eval,Agis
40,8,0.333333,27,0,Bbnplanet-r0,4258277787877543916,79423d1030f24054877adbe51c7dde36dc5423fdd8194eb66fe762cd7112cee8,dev,Bbnplanet
40,14,0.666667,27,1,Bbnplanet-r1,6938569428179988182,577a0e1bc7c2dccb642a303b016e75bcb37d9e0573f0d2a2083fc96b72575b77,dev,Bbnplanet
40,7,0.666667,21,0,Belnet2008-r0,15286802624455833325,280b3421a33b9a1d30b142458e7c2ae0bf5e1d79a0e7d25d12ae292723751899,eval,Belnet2008
40,8,0.333333,21,1,Belnet2008-r1,871697653947309889,7e88fa32da422602ef4ef9d6c68d7b347ef8efc5a291b42aacdf02066ff08d81,eval,Belnet2008
40,2,0.8,21,2,Belnet2008-r2,16180033288022385135,ce42e6a4e54061b9f3188c3672671d4340345f2d3522d0470876a74f477772fc,eval,Belnet2008
40,5,0.533333,18,0,BsonetEurope-r0,11115118226998395478,fd8c2df2a7bc694e5ec6a0da8fc7f1df8a5bd79e29bc593c186d0fac91569e47,eval,BsonetEurope
40,2,0.533333,18,1,BsonetEurope-r1,7815623503489987564,a6b3bda4abde13031fe340162c89120c5b59ba053a25f957c0b6d3bbcce5f8d8,eval,BsonetEurope
40,10,0.333333,18,2,BsonetEurope-r2,1140146593298868457,b8a0ec54eed74f723fe16d91ee87798587173990df024ae935d473c1ba2e8a5c,eval,BsonetEurope
40,19,0.333333,36,0,BtNorthAmerica-r0,14150741444119254475,65c76a69dca392b57d72cf1934872ef50916936cd26f85d413f34c5e775ab3d6,eval,BtNorthAmerica
40,16,1.0,36,1,BtNorthAmerica-r1,3401516565899209509,de083b1ea5f510d61cabd31e9865538c8eef9f3df4f9355b18793fcec56cac0c,eval,BtNorthAmerica
40,12,0.333333,36,2,BtNorthAmerica-r2,10094003056187242629,ec3dd96bf63a4ade8e108792e3652fec509e5fbdbc3d175b9e1eafbfbe6b45cd,eval,BtNorthAmerica
