alert_count,failed_edge_count,ground_connected_source_fraction,node_count,replicate,scenario_id,scenario_seed,sha256,split,topology_id
40,8,0.466667,25,0,Agis-r0,15566494339613965040,47e97c34b281349fccd231363cfbadbeec7d56a54e9e6a8d5ae897e11aad60f1,eval,Agis
40,3,0.4,25,1,Agis-r1,16323045806345540192,da84572551d862dda6322731f4915c5422e6d27857c8ef69c426d7436a7552d0,eval,Agis
40,10,0.933333,25,2,Agis-r2,17969966737673119908,656b003c2a46581a75f3d63600ca55667ea21f7c0296a264bff53961434c4740,eval,Agis
40,8,0.333333,27,0,Bbnplanet-r0,4258277787877543916,e5dcda879cb34df4b2b696aa8d2f753ed4d67c202c9877639a570daca066b3c0,dev,Bbnplanet
40,14,0.666667,27,1,Bbnplanet-r1,6938569428179988182,34221c7459e853053bc98e55ca3b57215688a290a0c4e5e99f0f9c896c29a567,dev,Bbnplanet
40,7,0.666667,21,0,Belnet2008-r0,15286802624455833325,a966b1484244b99a126a181b10dc53b1ac8e443eb4fbb050964c30b3648efacb,eval,Belnet2008
40,8,0.333333,21,1,Belnet2008-r1,871697653947309889,d2f37776fe5847050b9c1149adcaa05987742fbb6b78ff1ec673a928b934b61d,eval,Belnet2008
40,2,0.8,21,2,Belnet2008-r2,16180033288022385135,3ec2c623c1bcf065e273c2dc0c62216ba47c0c42fecc0224d423a32430b82379,eval,Belnet2008
40,5,0.533333,18,0,BsonetEurope-r0,11115118226998395478,e37b2e3c5c99977a3b4e96089f51c3285235e75c2e4f03c72b42782269a550ce,eval,BsonetEurope
40,2,0.533333,18,1,BsonetEurope-r1,7815623503489987564,302b50e4df652138d9c268b2b257c6f19a53e1e03cfa0f05b47279c071053f8d,eval,BsonetEurope
40,10,0.333333,18,2,BsonetEurope-r2,1140146593298868457,ad1c037e6016cca2dc553a182203121eed942fac35ca5f0927a126ec81b6d511,eval,BsonetEurope
40,19,0.333333,36,0,BtNorthAmerica-r0,14150741444119254475,3ee483acc41f8206afab9164360bbaa2fe6b0eb1665b708ba1390aa6b8ed2818,eval,BtNorthAmerica
40,16,1.0,36,1,BtNorthAmerica-r1,3401516565899209509,c470290ed6c4758cf43a593241373db105592e9a7f4e7b8d28a13d86c4732120,eval,BtNorthAmerica
40,12,0.333333,36,2,BtNorthAmerica-r2,10094003056187242629,2eeaa3a17ee13a5b2b02f0243ed614a7cafc60281eb0b7f4f1e186198138268a,eval,BtNorthAmerica
40,16,0.6,32,0,Canerie-r0,4120132187390513045,420500d96e9c9dbfc10c8ec46c292d0ff6355e9f1c46058b5660b681c949fc36,dev,Canerie
40,13,0.866667,32,1,Canerie-r1,7139684576512261099,018365e3c275d3ea049dfb08f2ef2446ec2fad1b8405e7988e9b8c7af71f9c87,dev,Canerie
40,7,0.4,39,0,Cesnet200603-r0,726445141633008049,eb7b32f7d2906f9999ef38e302c91f7106fcfd5209fd8dd856ce3241f4e58095,eval,Cesnet200603
40,9,0.666667,39,1,Cesnet200603-r1,4289116980301350753,77cb53721be3a3f532375416f3d6e3c09c7be64dfcd7aba3cea28fb5e1d758dd,eval,Cesnet200603
40,4,0.666667,39,2,Cesnet200603-r2,5195842168826478650,f571f3d95847abbfa193e60980139ae04cf75f6ba484965028ebb3c224db40ad,eval,Cesnet200603
40,5,0.533333,31,0,Digex-r0,10800825765349067673,6e6adb2835e878758d40793cde2aad7d921e7ceb60e5f9a21a882a30b4220056,eval,Digex
40,11,0.333333,31,1,Digex-r1,4553592903677592101,46a008fb2cf674cb34d53ffb1b5c84c9107134eb38d2f0f76edc2f2e83cc038c,eval,Digex
40,3,0.133333,31,2,Digex-r2,6101143522438592080,44217ccf241cc3ea456252f073e474201a4c2e6d2beb65ac01a4a83a58167930,eval,Digex
40,2,0.133333,19,0,Easynet-r0,581655527901723507,eaade4edc2f732129eaaef0c68465bcea1630787da2a49a101907704beef2bcd,eval,Easynet
40,4,0.266667,19,1,Easynet-r1,8614890416410480799,6931b634532232768e73bfc4b3618c7276f9688bf36942450235356f71f8cad7,eval,Easynet
40,1,0.066667,19,2,Easynet-r2,17563095875052674419,5cdaca3c6e7a25372e307c0e79f39311012cb4c82cb3a9701d7b8aeddec188bc,eval,Easynet
40,0,0.0,23,0,Fccn-r0,17530973596694264253,03a7bf8e07f73f0575e2ea8edccde51d6a5d119720a2a8cda1c57511ad076011,dev,Fccn
40,4,0.466667,23,1,Fccn-r1,18348383631147861382,13fa78f899f00440c39655ec9fc1f32d3c3c8ec0adecfe856b6a5d13946f31de,dev,Fccn
40,2,0.6,24,0,Garr200112-r0,11364974108254927058,64443698300b96daf525dab3713fad36fc526321e9ebd371f66d4bc17f25602d,eval,Garr200112
40,9,0.533333,24,1,Garr200112-r1,2434035492255571931,3c42722701868eec6c83ebf1e0183eb7166161870246e170d3bb754ba8450f0f,eval,Garr200112
40,4,0.8,24,2,Garr200112-r2,10068894956960023315,5e75295939ecacab3ebcf5d717be8587900835e2b680dc65fc68d33d39ba42fb,eval,Garr200112
40,5,0.6,22,0,Garr200404-r0,198101169295225296,df62ef2db0275301abf0e03658a5187f4b1a8183691882b52075b0cd107f373c,eval,Garr200404
40,5,0.666667,22,1,Garr200404-r1,7024765275165438631,9ceddadd7549172776e1d7d3851d6c1a663fc7871944aed3b74f816a06b279dc,eval,Garr200404
40,10,0.666667,22,2,Garr200404-r2,11642824855973204170,7188de214c6356cc6df7f9950e184c532f61793b993b57eefb17f34a77c2b572,eval,Garr200404
40,4,0.333333,16,0,Marwan-r0,4873392028476308933,294928e6b8580df75cf7a1102bf78a5bd972f6ceadcda2a3eb327e0521b0d4b0,eval,Marwan
40,3,0.6,16,1,Marwan-r1,17084842736408766793,b1a2a31d0c1e129a3fdaf34220dbf6f331c64cf9c39de448bc9225d303580c02,eval,Marwan
40,2,0.6,16,2,Marwan-r2,11081879841179557546,82ec1af32e4c566f8c69585d56be14952fd91c7d3bc2657426b34b285b7eb5ab,eval,Marwan
