alert_count,failed_edge_count,ground_connected_source_fraction,node_count,replicate,scenario_id,scenario_seed,sha256,split,topology_id
40,8,0.466667,25,0,Agis-r0,15566494339613965040,b98668e985568af7ece4db2142010a465bcc5da22685420e0191fd7bef32dd4a,eval,Agis
40,3,0.4,25,1,Agis-r1,16323045806345540192,5bc6e20acd524d5567c489709167969372cc08d34e01b748a5003d648a2b9dc0,eval,Agis
40,10,0.933333,25,2,Agis-r2,17969966737673119908,dd64a50e98a63160065edd21d0df2a5d33f1107e312ad366dc583beee884cfda,eval,Agis
40,8,0.333333,27,0,Bbnplanet-r0,4258277787877543916,67225107b7b387b0c2464fe3ec20775e80d35a7d60510240330bf7eadcf4a5b9,dev,Bbnplanet
40,14,0.666667,27,1,Bbnplanet-r1,6938569428179988182,fcbc300ef2fb2e55aa271b716e2c97eca6384909fa712353d6b75d62bd0a10d5,dev,Bbnplanet
40,7,0.666667,21,0,Belnet2008-r0,15286802624455833325,a61caaf345ea2d86c91398504a7462c69258c12a7565dbef750b97bb6279d57f,eval,Belnet2008
40,8,0.333333,21,1,Belnet2008-r1,871697653947309889,d1f8cb8195cc88b4d6a2fe37ec7f6ac5312dc712e16d56db5a99d89252071478,eval,Belnet2008
40,2,0.8,21,2,Belnet2008-r2,16180033288022385135,478f348f5e64cb341fe011f0b7cf172d90ff745116bd913beab329ec791252f9,eval,Belnet2008
40,5,0.533333,18,0,BsonetEurope-r0,11115118226998395478,524e41b69aae372c5ffdf7ae670da7f493500818a31dbe1a0ba5ed0e7579242b,eval,BsonetEurope
40,2,0.533333,18,1,BsonetEurope-r1,7815623503489987564,7fa6649e4eb4fd39c2e09142c67846e4c323d036db9e688cf7a69451b522d091,eval,BsonetEurope
40,10,0.333333,18,2,BsonetEurope-r2,1140146593298868457,3803f72b36831d1775bf3fc57c39ec47960e268146c4ff1160b5eb6cb5373db7,eval,BsonetEurope
40,19,0.333333,36,0,BtNorthAmerica-r0,14150741444119254475,d6a928e18687c8f11218b76efa9df695bd6746a573b6617c92005e822909fcc3,eval,BtNorthAmerica
40,16,1.0,36,1,BtNorthAmerica-r1,3401516565899209509,5d93f67e0e020832304b151f4808ad48e32ae21640cb54a66c657bb1c3d65eda,eval,BtNorthAmerica
40,12,0.333333,36,2,BtNorthAmerica-r2,10094003056187242629,d73babe94e909f30733be587c6a790a0ed912df7992704158660bf106bcd2e5d,eval,BtNorthAmerica
40,16,0.6,32,0,Canerie-r0,4120132187390513045,325636fa3f455ee4cfe9f62ae084729ae59a52633d29a131b9d3f18b08814618,dev,Canerie
40,13,0.866667,32,1,Canerie-r1,7139684576512261099,4bce6dbdc5f29779bdc6c39972eb7162e520825352c5d3e90035025d0d669d15,dev,Canerie
40,7,0.4,39,0,Cesnet200603-r0,726445141633008049,fe7be8ccfc2f7cf817d245186d45d6f3beab6161e716bec7cb769415dac371b5,eval,Cesnet200603
40,9,0.666667,39,1,Cesnet200603-r1,4289116980301350753,f42d1afc0da9d362a4a1fb0788fe4d9d3cbb53b6b9998d33df6c592dbee15b47,eval,Cesnet200603
40,4,0.666667,39,2,Cesnet200603-r2,5195842168826478650,00f0c99ac86096ed4ea055be49349ad1d232e06223171034b9d957747ad0c4ae,eval,Cesnet200603
40,5,0.533333,31,0,Digex-r0,10800825765349067673,bd2bc6235ccff491e2b7e928e3109a9d203662db96454dc8cee3bdaf1becfa47,eval,Digex
40,11,0.333333,31,1,Digex-r1,4553592903677592101,96d181158a08616c41ac10b707cb78111a834f85eb0da84af6222d08d0eaf429,eval,Digex
40,3,0.133333,31,2,Digex-r2,6101143522438592080,bcb4485bb3fe81a94968651c5c3d9162806715dfcb609fb7646eeafbe1c63240,eval,Digex
40,2,0.133333,19,0,Easynet-r0,581655527901723507,aa1e7315834e6697457d3c7ff68028d430b7cd8e066558bb32da0f69e9526558,eval,Easynet
40,4,0.266667,19,1,Easynet-r1,8614890416410480799,eaf99e56302bceee33a5ac5fefb3569d811924331d0989cff5b25c5791fe103f,eval,Easynet
40,1,0.066667,19,2,Easynet-r2,17563095875052674419,88a2fd0ac4268e9ff85739473478ae537e6ef3d0ef76aa738cbdf6adfc8592ce,eval,Easynet
40,0,0.0,23,0,Fccn-r0,17530973596694264253,53d0f75fcf831a29e5abfcba9cd70c6956bcf44f58fd623a2a5e47bcc5be7795,dev,Fccn
40,4,0.466667,23,1,Fccn-r1,18348383631147861382,a90dfd091cd849f50d7da7375890ba7788e3307606359f4c8a43af59c8619385,dev,Fccn
40,2,0.6,24,0,Garr200112-r0,11364974108254927058,165e6fea86b9b2dc3e2b47985722280e5755264323b33b40ec3d4fc75f776f87,eval,Garr200112
40,9,0.533333,24,1,Garr200112-r1,2434035492255571931,373f48770f982004bd19a9c4d068f5e5f21d1dd17a73693ea9869b5ce462c02b,eval,Garr200112
40,4,0.8,24,2,Garr200112-r2,10068894956960023315,08ed381b4cf291cd107d408e735f2247352e87e6c6d3c67f6dfbbc0c9bba7055,eval,Garr200112
40,5,0.6,22,0,Garr200404-r0,198101169295225296,5327693d4e887a8e41d40727df2a701982b7a5299d940cd757cc67e42a6b48e2,eval,Garr200404
