capacity_unit,coordinate_count,demand_count,demand_unit,error,link_count,network_id,node_count,parser_status
,12,132,MBITPERSEC,,15,abilene,12,valid
,15,210,,,22,atlanta,15,valid
,161,14311,BITSPERSEC,,332,brain,161,valid
,37,1332,,,57,cost266,37,valid
,10,90,,,45,dfn-bwin,10,valid
,11,110,,,47,dfn-gwin,11,valid
,11,22,,,42,di-yuan,11,valid
,25,300,,,45,france,25,valid
,22,462,MBITPERSEC,,36,geant,22,valid
,50,662,,,88,germany50,50,valid
,39,1471,,,172,giul39,39,valid
,35,595,,,80,india35,35,valid
,39,1482,,,122,janos-us-ca,39,valid
,26,650,,,84,janos-us,26,valid
,16,240,,,49,newyork,16,valid
,28,378,,,41,nobel-eu,28,valid
,17,121,,,26,nobel-germany,17,valid
,14,91,,,21,nobel-us,14,valid
,27,702,,,51,norway,27,valid
,11,24,,,34,pdh,11,valid
,40,780,,,89,pioro40,40,valid
,12,66,,,18,polska,12,valid
,27,67,,,102,sun,27,valid
,24,396,,,55,ta1,24,valid
,65,1869,,,108,ta2,65,valid
,54,1501,,,81,zib54,54,valid
