connected,coordinate_count,edge_count,eligible,exclusion_reason,has_parallel_edges,node_count,topology_id
False,0,0,False,node_count_out_of_range,False,0,blank
True,5,4,False,node_count_out_of_range,False,5,example
True,19,24,True,,False,19,Aarnet
True,11,14,False,node_count_out_of_range,False,11,Abilene
True,23,31,True,,False,23,Abvt
True,23,31,True,,False,23,Aconet
True,25,30,True,,False,25,Agis
True,10,9,False,node_count_out_of_range,False,10,Ai3
True,16,26,True,,True,16,Airtel
True,25,24,True,,False,25,Amres
True,18,25,True,,False,18,Ans
True,30,29,True,,False,30,Arn
True,34,46,True,,True,34,Arnes
True,4,4,False,node_count_out_of_range,False,4,Arpanet196912
True,9,10,False,node_count_out_of_range,False,9,Arpanet19706
True,18,22,True,,False,18,Arpanet19719
True,25,28,True,,False,25,Arpanet19723
True,29,32,True,,False,29,Arpanet19728
True,65,77,False,node_count_out_of_range,True,65,AsnetAm
True,21,22,True,,False,21,Atmnet
True,25,56,True,,True,25,AttMpls
True,22,21,True,,True,22,Azrena
False,22,28,False,disconnected,False,22,Bandcon
True,7,6,False,node_count_out_of_range,False,7,Basnet
True,27,28,True,,False,27,Bbnplanet
True,48,64,False,node_count_out_of_range,True,48,Bellcanada
True,51,66,False,node_count_out_of_range,False,51,Bellsouth
True,23,39,True,,True,23,Belnet2003
True,23,39,True,,True,23,Belnet2004
True,23,41,True,,True,23,Belnet2005
True,23,41,True,,True,23,Belnet2006
True,21,24,True,,True,21,Belnet2007
True,21,24,True,,True,21,Belnet2008
True,21,24,True,,True,21,Belnet2009
True,22,25,True,,True,22,Belnet2010
True,53,65,False,node_count_out_of_range,False,53,BeyondTheNetwork
True,33,48,True,,False,33,Bics
True,29,33,True,,False,29,Biznet
True,37,38,True,,False,37,Bren
True,18,23,True,,True,18,BsonetEurope
True,20,31,True,,False,20,BtAsiaPac
True,24,37,True,,False,24,BtEurope
False,51,50,False,node_count_out_of_range,False,51,BtLatinAmerica
True,36,76,True,,False,36,BtNorthAmerica
True,32,41,True,,False,32,Canerie
True,44,43,False,node_count_out_of_range,False,44,Carnet
True,41,58,False,node_count_out_of_range,True,41,Cernet
True,10,9,False,node_count_out_of_range,False,10,Cesnet1993
True,13,12,False,node_count_out_of_range,False,13,Cesnet1997
True,13,12,False,node_count_out_of_range,False,13,Cesnet1999
True,23,23,True,,False,23,Cesnet2001
True,29,33,True,,False,29,Cesnet200304
True,39,44,True,,False,39,Cesnet200511
True,39,44,True,,False,39,Cesnet200603
True,44,51,False,node_count_out_of_range,False,44,Cesnet200706
True,52,63,False,node_count_out_of_range,False,52,Cesnet201006
True,42,66,False,node_count_out_of_range,False,42,Chinanet
True,15,18,True,,False,15,Claranet
True,197,243,False,node_count_out_of_range,True,197,Cogentco
True,153,177,False,node_count_out_of_range,True,153,Colt
True,70,85,False,node_count_out_of_range,False,70,Columbus
True,14,17,False,node_count_out_of_range,False,14,Compuserve
True,33,38,True,,False,33,CrlNetworkServices
True,51,52,False,node_count_out_of_range,False,51,Cudi
True,36,41,True,,False,36,Cwix
True,30,29,True,,False,30,Cynet
True,28,31,True,,False,28,Darkstrand
True,6,11,False,node_count_out_of_range,False,6,Dataxchange
True,113,161,False,node_count_out_of_range,True,113,Deltacom
False,39,62,False,disconnected,False,39,DeutscheTelekom
True,58,87,False,node_count_out_of_range,False,58,Dfn
False,193,151,False,node_count_out_of_range,False,193,DialtelecomCz
True,31,35,True,,True,31,Digex
True,19,26,True,,True,19,Easynet
True,13,13,False,node_count_out_of_range,True,13,Eenet
True,20,30,True,,False,20,EliBackbone
True,6,7,False,node_count_out_of_range,False,6,Epoch
True,30,32,True,,False,30,Ernet
True,68,79,False,node_count_out_of_range,True,68,Esnet
False,15,16,False,disconnected,True,15,Eunetworks
True,37,45,True,,False,37,Evolink
True,17,21,True,,False,17,Fatman
True,23,25,True,,True,23,Fccn
True,62,62,False,node_count_out_of_range,False,62,Forthnet
True,26,30,True,,True,26,Funet
True,28,28,True,,False,28,Gambia
True,16,18,True,,False,16,Garr199901
True,23,25,True,,False,23,Garr199904
True,23,25,True,,False,23,Garr199905
True,22,24,True,,False,22,Garr200109
True,24,26,True,,False,24,Garr200112
True,27,28,True,,True,27,Garr200212
True,22,24,True,,False,22,Garr200404
True,54,68,False,node_count_out_of_range,True,54,Garr200902
True,54,68,False,node_count_out_of_range,False,54,Garr200908
True,55,69,False,node_count_out_of_range,False,55,Garr200909
True,54,68,False,node_count_out_of_range,False,54,Garr200912
True,54,68,False,node_count_out_of_range,False,54,Garr201001
True,54,68,False,node_count_out_of_range,True,54,Garr201003
True,54,68,False,node_count_out_of_range,True,54,Garr201004
True,55,69,False,node_count_out_of_range,True,55,Garr201005
True,55,69,False,node_count_out_of_range,True,55,Garr201007
True,55,69,False,node_count_out_of_range,True,55,Garr201008
True,56,70,False,node_count_out_of_range,True,56,Garr201010
True,56,70,False,node_count_out_of_range,True,56,Garr201012
True,56,70,False,node_count_out_of_range,True,56,Garr201101
True,57,71,False,node_count_out_of_range,True,57,Garr201102
True,58,72,False,node_count_out_of_range,True,58,Garr201103
True,59,74,False,node_count_out_of_range,True,59,Garr201104
True,59,74,False,node_count_out_of_range,True,59,Garr201105
True,59,74,False,node_count_out_of_range,True,59,Garr201107
True,59,74,False,node_count_out_of_range,True,59,Garr201108
True,59,74,False,node_count_out_of_range,True,59,Garr201109
True,59,74,False,node_count_out_of_range,True,59,Garr201110
True,60,74,False,node_count_out_of_range,True,60,Garr201111
True,61,75,False,node_count_out_of_range,True,61,Garr201112
True,61,75,False,node_count_out_of_range,True,61,Garr201201
True,8,7,False,node_count_out_of_range,False,8,Gblnet
True,27,38,True,,False,27,Geant2001
True,34,52,True,,False,34,Geant2009
True,37,56,True,,True,37,Geant2010
True,40,61,True,,False,40,Geant2012
True,7,8,False,node_count_out_of_range,False,7,Getnet
True,9,36,False,node_count_out_of_range,False,9,Globalcenter
True,67,95,False,node_count_out_of_range,True,67,Globenet
True,17,31,True,,False,17,Goodnet
True,16,15,True,,False,16,Grena
True,9,20,False,node_count_out_of_range,False,9,Gridnet
True,37,42,True,,True,37,Grnet
True,149,193,False,node_count_out_of_range,False,149,GtsCe
True,32,33,True,,False,32,GtsCzechRepublic
