query,source,id,year,first_author,title,stage,decision,reason
Q1,crossref,10.3390/photonics11121136,2024,Kang,Joint Divergence Angle of Free Space Optics (FSO) Link and UAV Trajectory Design in FSO-Based UAV-Enabled Wireless Power Transfer Relay Systems,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q1,crossref,10.3390/electronics13050828,2024,Lee,"Joint Optimization on Trajectory, Data Relay, and Wireless Power Transfer in UAV-Based Environmental Monitoring System",title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q1,crossref,10.12720/jcm.21.3.365-371,2026,Trang,Joint Trajectory and Power Optimization for UAV-Relay: A Constraint Handling Approach with the Bat Algorithm,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q1,crossref,10.23919/cje.2025.00.196,2026,Feng,When UAV Base Station Enabled System Meets RIS-UAV Relay Assisted System: Joint Trajectory and Resource Allocation Optimization,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q1,crossref,10.1109/access.2018.2867849,2018,Jiang,Power and Trajectory Optimization for UAV-Enabled Amplify-and-Forward Relay Networks,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q1,crossref,10.1109/jsyst.2021.3134305,2022,Ning,Secure UAV Relay Communication via Power Allocation and Trajectory Planning,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q1,crossref,10.1109/access.2020.3013319,2020,Yuan,Channel-Aware Potential Field Trajectory Planning for Solar-Powered Relay UAV in Near-Space,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q1,crossref,10.1109/lcomm.2017.2763135,2018,Zhang,Joint Trajectory and Power Optimization for UAV Relay Networks,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q1,crossref,10.23919/jcc.2021.06.015,2021,Wang,Joint 3D trajectory and resource optimization for a UAV relay-assisted cognitive radio network,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q1,crossref,10.1016/j.vehcom.2021.100357,2021,Zhang,Joint trajectory and power optimization for mobile jammer-aided secure UAV relay network,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q1,crossref,10.1016/j.comcom.2024.108007,2025,Sabuj,Trajectory design of UAV-aided energy-harvesting relay networks in the terahertz band,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
Q1,crossref,10.1016/j.dsp.2024.104626,2024,Nguyen,Joint resource and trajectory optimization for secure UAV-based two-way relay system,title,excluded,"title shows no per-demand timing, relay or backhaul selection, or UAV data delivery"
