x,y
0.0000,0.4602
0.7046,0.4664
nan,nan
0.0000,0.4602
0.4177,0.4312
nan,nan
0.0000,0.4602
0.1190,0.6393
nan,nan
0.0000,0.4602
0.1257,0.6812
nan,nan
0.0000,0.4602
1.0871,0.9161
nan,nan
0.0000,0.4602
1.2985,0.2852
nan,nan
0.0000,0.4602
1.7079,0.4278
nan,nan
0.0000,0.4602
0.1291,0.0319
nan,nan
0.3015,0.2453
0.4177,0.4312
nan,nan
0.3015,0.2453
0.1291,0.0319
nan,nan
0.7046,0.4664
0.7281,0.5218
nan,nan
0.7046,0.4664
0.6945,0.3876
nan,nan
0.7046,0.4664
0.4177,0.4312
nan,nan
0.7046,0.4664
0.3606,0.6946
nan,nan
0.7046,0.4664
0.5838,0.6627
nan,nan
0.7046,0.4664
1.0334,0.4429
nan,nan
0.7281,0.5218
1.0334,0.4429
nan,nan
0.6945,0.3876
0.4177,0.4312
nan,nan
0.4177,0.4312
0.2902,0.0436
nan,nan
0.4177,0.4312
0.1190,0.6393
nan,nan
0.4177,0.4312
1.3170,0.3356
nan,nan
0.4177,0.4312
0.5217,0.1745
nan,nan
0.2902,0.0436
0.1593,0.0000
nan,nan
0.1593,0.0000
0.4299,0.1063
nan,nan
0.1593,0.0000
0.3606,0.6946
nan,nan
0.1593,0.0000
1.2985,0.2852
nan,nan
0.1006,0.0956
0.0637,0.1560
nan,nan
0.1006,0.0956
0.1190,0.6393
nan,nan
0.1006,0.0956
0.1291,0.0319
nan,nan
0.0637,0.1560
0.1291,0.0319
nan,nan
0.1190,0.6393
0.1257,0.6812
nan,nan
0.1190,0.6393
0.3606,0.6946
nan,nan
0.1190,0.6393
1.0871,0.9161
nan,nan
0.1257,0.6812
1.0871,0.9161
nan,nan
0.4299,0.1063
0.5217,0.1745
nan,nan
0.4160,0.7752
0.5838,0.6627
nan,nan
0.4160,0.7752
1.0301,0.7919
nan,nan
1.0301,0.7919
1.0871,0.9161
nan,nan
1.0871,0.9161
1.8270,0.2114
nan,nan
1.5448,0.6342
1.7616,0.3070
nan,nan
1.3170,0.3356
1.7079,0.4278
nan,nan
1.3170,0.3356
1.0334,0.4429
nan,nan
1.2985,0.2852
1.7616,0.3070
nan,nan
1.2985,0.2852
1.8270,0.2114
nan,nan
1.2985,0.2852
1.8019,0.1661
nan,nan
1.7616,0.3070
1.8019,0.1661
nan,nan
1.7616,0.3070
2.0000,0.2066
nan,nan
1.8270,0.2114
1.8019,0.1661
nan,nan
1.8270,0.2114
1.9009,0.1141
nan,nan
1.8270,0.2114
1.7079,0.4278
nan,nan
1.8270,0.2114
2.0000,0.2066
nan,nan
1.8270,0.2114
1.0334,0.4429
nan,nan
1.8019,0.1661
1.9009,0.1141
nan,nan
1.8019,0.1661
1.7079,0.4278
nan,nan
1.7079,0.4278
1.0334,0.4429
nan,nan
0.9563,0.1275
1.1039,0.2080
nan,nan
0.9563,0.1275
0.9781,0.2752
nan,nan
1.1039,0.2080
1.0334,0.4429
nan,nan
1.0049,0.3691
1.0804,0.3641
nan,nan
1.0049,0.3691
1.0334,0.4429
nan,nan
1.0804,0.3641
1.0334,0.4429
nan,nan
