x,y
0.1593,0.0000
0.1291,0.0319
nan,nan
0.3606,0.6946
0.4160,0.7752
nan,nan
1.0301,0.7919
1.0334,0.4429
nan,nan
1.0871,0.9161
1.6962,0.8439
nan,nan
1.0871,0.9161
1.5448,0.6342
nan,nan
1.0871,0.9161
1.7079,0.4278
nan,nan
1.6962,0.8439
1.5448,0.6342
nan,nan
1.6962,0.8439
1.7079,0.4278
nan,nan
1.5448,0.6342
1.3170,0.3356
nan,nan
1.5448,0.6342
1.7079,0.4278
nan,nan
1.3170,0.3356
1.2985,0.2852
nan,nan
1.3170,0.3356
1.1039,0.2080
nan,nan
1.2985,0.2852
1.0334,0.4429
nan,nan
1.7616,0.3070
1.7079,0.4278
nan,nan
0.9781,0.2752
1.0049,0.3691
nan,nan
