x,y
0.0000,0.4602
0.3015,0.2453
0.7046,0.4664
0.7281,0.5218
0.6945,0.3876
0.4177,0.4312
0.2902,0.0436
0.1593,0.0000
0.1006,0.0956
0.0637,0.1560
0.1190,0.6393
0.1257,0.6812
0.4299,0.1063
0.3606,0.6946
0.4160,0.7752
0.5838,0.6627
1.0301,0.7919
1.0871,0.9161
1.6962,0.8439
1.5448,0.6342
1.3170,0.3356
1.2985,0.2852
1.7616,0.3070
0.5217,0.1745
1.8270,0.2114
1.8019,0.1661
1.9009,0.1141
1.7079,0.4278
2.0000,0.2066
0.1291,0.0319
0.9563,0.1275
1.1039,0.2080
0.9781,0.2752
1.0049,0.3691
1.0804,0.3641
