x,y,class
0.0757,1.4205,5
0.0608,1.4549,4
0.0959,1.4511,4
0.2311,1.4801,3
0.2547,1.4845,4
0.2560,1.4914,5
0.0303,1.4493,5
0.0000,1.4463,5
0.0265,1.4206,5
0.5044,1.5023,4
0.4765,1.5067,5
0.4482,1.5064,3
0.4277,1.4942,3
0.4157,1.4993,3
0.4242,1.5118,3
0.4540,1.4833,3
0.4465,1.4674,3
0.4160,1.4549,4
0.4024,1.4592,3
0.3928,1.4705,3
0.3793,1.4017,3
0.4027,1.4367,4
0.5270,1.4505,3
0.4927,1.4721,4
0.5123,1.4307,3
0.5018,1.4866,3
0.5754,1.4525,3
0.5861,1.4393,3
0.5699,1.4316,4
0.9292,0.9407,5
0.9380,0.8941,5
0.9437,0.9253,5
0.9539,0.9363,4
0.9626,0.9214,5
0.6468,1.3209,3
0.6108,1.1213,5
0.5872,1.1346,5
0.6210,1.1319,5
0.5960,1.1478,5
0.6320,1.1435,5
0.9477,0.9418,4
0.9414,0.9537,3
1.3708,0.9499,3
1.3705,0.9349,3
1.3357,0.9289,4
1.6291,0.9353,3
1.4173,0.7634,4
1.4461,0.7252,4
1.4693,0.8327,5
1.4731,0.8394,3
1.4797,0.8501,4
1.4957,0.8265,3
1.7544,0.5597,4
1.6353,0.5275,3
1.6483,0.4882,5
1.6668,0.5138,5
1.6807,0.5330,3
1.6149,0.5051,3
1.7291,0.5979,3
1.9237,0.7681,4
1.9184,0.7885,4
2.0000,0.5575,3
1.9785,0.5363,4
