x,y
1.0334,0.4429
1.0370,0.4919
1.0406,0.5409
1.0442,0.5899
1.0478,0.6388
1.0514,0.6878
1.0550,0.7368
1.0586,0.7858
1.0622,0.8347
1.0658,0.8837
1.0693,0.9327
1.0693,0.9327
1.0693,0.9327
1.0693,0.9327
1.0693,0.9327
1.0693,0.9327
1.0693,0.9327
1.0693,0.9327
1.0693,0.9327
1.0693,0.9327
1.0693,0.9327
1.0693,0.9327
1.1151,0.9129
1.1609,0.8930
1.2067,0.8732
1.2525,0.8534
1.2982,0.8335
1.3440,0.8137
1.3898,0.7939
1.4356,0.7741
1.4814,0.7542
1.5271,0.7344
1.5729,0.7146
1.6187,0.6947
1.6645,0.6749
1.6645,0.6749
1.6645,0.6749
1.6645,0.6749
1.6645,0.6749
1.6645,0.6749
1.6645,0.6749
1.6645,0.6749
1.6645,0.6749
1.6645,0.6749
1.6645,0.6749
1.6645,0.6749
1.6645,0.6749
1.6645,0.6749
1.6645,0.6749
1.6645,0.6749
1.6645,0.6749
1.6645,0.6749
1.6645,0.6749
1.6645,0.6749
1.6224,0.6995
1.5803,0.7241
1.5382,0.7487
1.4962,0.7733
1.4541,0.7979
1.4120,0.8225
1.3700,0.8471
1.3279,0.8717
1.2858,0.8963
1.2437,0.9209
1.2017,0.9456
1.1596,0.9702
1.1175,0.9948
1.0754,1.0194
1.0334,1.0440
0.9913,1.0686
0.9492,1.0932
0.9072,1.1178
0.8651,1.1424
0.8230,1.1670
0.7809,1.1916
0.7389,1.2162
0.6968,1.2408
0.6547,1.2654
0.6127,1.2900
0.5706,1.3146
0.5285,1.3392
0.4864,1.3638
0.4444,1.3884
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4023,1.4130
0.4286,1.3726
0.4549,1.3322
0.4812,1.2918
0.5075,1.2514
0.5338,1.2109
0.5601,1.1705
0.5864,1.1301
0.6127,1.0897
0.6390,1.0493
0.6653,1.0088
0.6916,0.9684
0.7179,0.9280
0.7442,0.8876
0.7705,0.8472
0.7968,0.8067
0.8231,0.7663
0.8493,0.7259
0.8756,0.6855
0.9019,0.6450
0.9282,0.6046
0.9545,0.5642
0.9808,0.5238
1.0071,0.4834
1.0334,0.4429
1.0334,0.4429
