x,y
1.0334,0.4429
1.0060,0.4847
0.9786,0.5265
0.9511,0.5683
0.9235,0.6100
0.8960,0.6517
0.8683,0.6934
0.8405,0.7350
0.8126,0.7765
0.7845,0.8178
0.7561,0.8589
0.7270,0.8996
0.6965,0.9392
0.6649,0.9779
0.6329,1.0164
0.6000,1.0540
0.5653,1.0900
0.5294,1.1248
0.4933,1.1593
0.4567,1.1934
0.4182,1.2253
0.3690,1.2339
0.3794,1.1850
0.4020,1.1404
0.4262,1.0966
0.4499,1.0526
0.4735,1.0086
0.4972,0.9645
0.5220,0.9211
0.5496,0.8795
0.5799,0.8396
0.6139,0.8030
0.6554,0.7751
0.7032,0.7603
0.7527,0.7539
0.8026,0.7508
0.8526,0.7488
0.9026,0.7473
0.9525,0.7459
1.0025,0.7446
1.0525,0.7433
1.1025,0.7420
1.1525,0.7402
1.2024,0.7375
1.2522,0.7329
1.3017,0.7259
1.3508,0.7165
1.3995,0.7055
1.4482,0.6939
1.4968,0.6822
1.5454,0.6704
1.5940,0.6587
1.6426,0.6470
1.6914,0.6364
1.6456,0.6562
1.6012,0.6791
1.5577,0.7037
1.5152,0.7297
1.4735,0.7572
1.4336,0.7869
1.3927,0.8146
1.3466,0.8323
1.2990,0.8434
1.2528,0.8354
1.2877,0.8028
1.3290,0.7761
1.3703,0.7489
1.4110,0.7206
1.3690,0.7477
1.3270,0.7748
1.2850,0.8019
1.2430,0.8291
1.2010,0.8562
1.1590,0.8833
1.1170,0.9104
1.0750,0.9376
1.0330,0.9647
0.9910,0.9919
0.9491,1.0191
0.9072,1.0464
0.8653,1.0736
0.8233,1.1009
0.7814,1.1282
0.7395,1.1554
0.6977,1.1828
0.6559,1.2102
0.6141,1.2377
0.5724,1.2653
0.5303,1.2923
0.4868,1.3168
0.4409,1.3367
0.3934,1.3524
0.3455,1.3666
0.3463,1.3339
0.3849,1.3020
0.4091,1.2583
0.4277,1.2119
0.4447,1.1649
0.4617,1.1179
0.4797,1.0712
0.5005,1.0257
0.5278,0.9839
0.5663,0.9520
0.6133,0.9350
0.6628,0.9276
0.7127,0.9246
0.7627,0.9233
0.8127,0.9225
0.8627,0.9218
0.9127,0.9211
0.9627,0.9206
1.0126,0.9214
0.9814,0.8824
0.9329,0.8701
0.8847,0.8570
0.8364,0.8438
0.7882,0.8305
0.7402,0.8168
0.6924,0.8021
0.6448,0.7867
0.5972,0.7713
0.5497,0.7559
0.5024,0.7408
0.4553,0.7255
0.4088,0.7095
0.4130,0.7184
0.4576,0.7385
0.5018,0.7603
0.5443,0.7846
0.5853,0.8109
0.6253,0.8378
0.6642,0.8654
0.7016,0.8937
0.7371,0.9221
0.7701,0.9502
0.7995,0.9759
0.8235,0.9945
0.8384,0.9947
0.8454,0.9712
0.8506,0.9347
0.8575,0.8927
0.8670,0.8483
0.8790,0.8030
0.8934,0.7573
0.9097,0.7116
0.9276,0.6661
0.9468,0.6209
0.9672,0.5760
0.9885,0.5314
1.0106,0.4870
1.0334,0.4429
