slot,B1,P,TRAN
0,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000
12,0.025000,0.000000,0.000000
13,0.025000,0.000000,0.000000
14,0.025000,0.000000,0.000000
15,0.025000,0.000000,0.000000
16,0.025000,0.025000,0.000000
17,0.025000,0.025000,0.000000
18,0.025000,0.025000,0.000000
19,0.045000,0.045000,0.000833
20,0.049167,0.049167,0.000833
21,0.050000,0.050000,0.000833
22,0.075000,0.075000,0.000833
23,0.075000,0.075000,0.000833
24,0.075000,0.075000,0.000833
25,0.075000,0.075000,0.000833
26,0.075000,0.075000,0.000833
27,0.075000,0.075000,0.001667
28,0.075000,0.075000,0.001667
29,0.075000,0.075000,0.001667
30,0.075000,0.075000,0.008333
31,0.075000,0.075000,0.044167
32,0.075000,0.075000,0.070000
33,0.075000,0.075000,0.070000
34,0.075000,0.075000,0.082500
35,0.075000,0.075000,0.087500
36,0.075000,0.075000,0.090000
37,0.075000,0.075000,0.092500
38,0.075000,0.075000,0.093333
39,0.075000,0.075000,0.093333
40,0.075000,0.076667,0.093333
41,0.081667,0.078333,0.093333
42,0.081667,0.080000,0.095000
43,0.081667,0.085833,0.095000
44,0.083333,0.100000,0.095000
45,0.084167,0.105000,0.095000
46,0.084167,0.110000,0.095000
47,0.085000,0.112500,0.095000
48,0.086667,0.116667,0.095000
49,0.090000,0.118333,0.095000
50,0.091667,0.119167,0.095000
51,0.116667,0.121667,0.095000
52,0.117500,0.122500,0.096667
53,0.121667,0.122500,0.099167
54,0.152500,0.122500,0.104167
55,0.159167,0.145833,0.105833
56,0.164167,0.166667,0.105833
57,0.173333,0.172500,0.130833
58,0.180000,0.173333,0.130833
59,0.184167,0.173333,0.130833
60,0.188333,0.173333,0.130833
61,0.191667,0.174167,0.130833
62,0.194167,0.175833,0.155833
63,0.195833,0.180000,0.155833
64,0.195833,0.191667,0.155833
65,0.196667,0.215833,0.155833
66,0.196667,0.224167,0.155833
67,0.196667,0.224167,0.155833
68,0.199167,0.224167,0.155833
69,0.205000,0.224167,0.155833
70,0.210000,0.224167,0.155833
71,0.238333,0.224167,0.180833
72,0.238333,0.224167,0.192500
73,0.239167,0.224167,0.195000
74,0.239167,0.224167,0.198333
75,0.240000,0.224167,0.199167
76,0.290000,0.225000,0.219167
77,0.290000,0.271667,0.219167
78,0.290000,0.280000,0.230000
79,0.290000,0.299167,0.255000
80,0.290833,0.321667,0.255000
81,0.313333,0.327500,0.255000
82,0.316667,0.329167,0.255000
83,0.316667,0.330000,0.255000
84,0.316667,0.330000,0.255000
85,0.316667,0.330000,0.255000
86,0.316667,0.330833,0.255000
87,0.317500,0.330833,0.255000
88,0.323333,0.330833,0.255000
89,0.325000,0.331667,0.255000
90,0.327500,0.331667,0.255000
91,0.327500,0.331667,0.255000
92,0.327500,0.331667,0.255833
93,0.354167,0.331667,0.255833
94,0.355000,0.331667,0.255833
95,0.355833,0.331667,0.255833
96,0.357500,0.332500,0.255833
97,0.382500,0.332500,0.255833
98,0.383333,0.332500,0.255833
99,0.383333,0.333333,0.255833
100,0.383333,0.333333,0.255833
101,0.385000,0.334167,0.255833
102,0.385833,0.335000,0.256667
103,0.387500,0.354167,0.263333
104,0.387500,0.361667,0.295000
105,0.387500,0.361667,0.327500
106,0.387500,0.361667,0.334167
107,0.387500,0.361667,0.339167
108,0.388333,0.386667,0.340833
109,0.388333,0.388333,0.344167
110,0.388333,0.390000,0.345000
111,0.389167,0.390000,0.350000
112,0.390000,0.390000,0.371667
113,0.390000,0.390000,0.382500
114,0.390833,0.390000,0.382500
115,0.390833,0.390000,0.382500
116,0.390833,0.410833,0.382500
117,0.390833,0.415000,0.382500
118,0.390833,0.415000,0.382500
119,0.391667,0.415833,0.384167
120,0.392500,0.415833,0.385000
121,0.392500,0.415833,0.387500
122,0.392500,0.415833,0.388333
123,0.392500,0.415833,0.392500
124,0.392500,0.435833,0.392500
125,0.392500,0.440833,0.412500
126,0.392500,0.440833,0.415833
127,0.392500,0.440833,0.415833
128,0.392500,0.440833,0.415833
129,0.392500,0.440833,0.415833
130,0.392500,0.440833,0.415833
131,0.392500,0.440833,0.415833
132,0.392500,0.440833,0.415833
133,0.392500,0.440833,0.415833
134,0.392500,0.440833,0.415833
135,0.392500,0.440833,0.415833
136,0.392500,0.440833,0.415833
137,0.392500,0.440833,0.415833
138,0.392500,0.440833,0.415833
139,0.392500,0.440833,0.415833
140,0.392500,0.440833,0.415833
141,0.392500,0.440833,0.415833
142,0.392500,0.440833,0.415833
143,0.392500,0.440833,0.415833
144,0.392500,0.440833,0.415833
145,0.392500,0.440833,0.415833
146,0.392500,0.440833,0.415833
147,0.392500,0.440833,0.415833
148,0.392500,0.440833,0.415833
149,0.392500,0.440833,0.415833
