variables,runtime
8297,0.330055
8297,0.305922
8297,0.296822
8297,0.318893
8297,0.302220
8297,0.293611
8297,0.243315
8297,0.264919
8297,0.251434
8297,0.261547
8297,0.275385
8297,0.527357
8297,0.281405
8297,0.518831
8297,0.488273
8297,0.323711
8297,0.250367
8297,0.251683
8297,0.260442
8297,0.256645
8297,0.499865
8297,0.276049
8297,0.250772
8297,0.303617
8297,0.264334
8297,0.260268
8297,0.259927
8297,0.254079
8297,0.256293
8297,0.257848
32479,2.521383
32479,2.383607
32479,2.748356
32479,1.697710
32479,1.687649
32479,1.723675
32479,1.870538
32479,1.766473
32479,2.083641
32479,1.820015
32479,1.754206
32479,2.585087
32479,1.703203
32479,1.700042
32479,1.672920
32479,1.657420
32479,1.771102
32479,1.811699
32479,1.663802
32479,2.162186
32479,1.745766
32479,2.311006
32479,2.121688
32479,2.461623
32479,1.789960
32479,1.744555
32479,1.706748
32479,1.780816
32479,1.742664
32479,1.703021
5161,0.138019
5161,0.173797
5161,0.140684
5161,0.197692
5161,0.151743
5161,0.192819
5161,0.197047
5161,0.149218
5161,0.151165
5161,0.237342
5161,0.254529
5161,0.180564
5161,0.242149
5161,0.191586
5161,0.169043
5161,0.156690
5161,0.149311
5161,0.202854
5161,0.161328
5161,0.210520
5161,0.195613
5161,0.149835
5161,0.201359
5161,0.143078
5161,0.153331
5161,0.145306
5161,0.157107
5161,0.150526
5161,0.142216
5161,0.151268
43094,4.490850
43094,3.187278
43094,3.872032
43094,4.089162
43094,3.090200
43094,4.088666
43094,3.371222
43094,3.118086
43094,3.008724
43094,3.542394
43094,3.012065
43094,3.080117
43094,3.392676
43094,3.112143
43094,3.223729
43094,3.231539
43094,3.374824
43094,3.284335
43094,2.854876
43094,3.782772
43094,3.283708
43094,3.231512
43094,3.413392
43094,3.902678
43094,3.158172
43094,3.155874
43094,3.436091
43094,3.214994
43094,3.257115
43094,3.300456
21843,1.200999
21843,1.035595
21843,1.053287
21843,1.292645
21843,1.427480
21843,1.121998
21843,1.114515
21843,1.264962
21843,1.189026
21843,1.321593
21843,1.030850
21843,1.040829
21843,1.145402
21843,1.054167
21843,1.121955
21843,1.064880
21843,1.401910
21843,1.056759
21843,1.258498
21843,1.158411
21843,1.250660
21843,1.170626
21843,1.143282
21843,1.357567
21843,1.227537
21843,1.448135
21843,1.338675
21843,1.236814
21843,1.215265
21843,1.177432
39285,2.427376
39285,2.563988
39285,2.560827
39285,2.266706
