source,target,source_x_m,source_y_m,target_x_m,target_y_m,failed
n0,n10,0.0,460.24758608733987,704.5804182895153,466.43458191982245,0
n0,n13,0.0,460.24758608733987,417.6728467670722,431.2002200609216,0
n0,n18,0.0,460.24758608733987,119.02050879183366,639.2501900581652,0
n0,n19,0.0,460.24758608733987,125.73178604984192,681.1958291750742,0
n0,n24,0.0,460.24758608733987,1087.1239094893508,916.0909081961582,0
n0,n28,0.0,460.24758608733987,1298.52945560894,285.22972095461165,0
n0,n33,0.0,460.24758608733987,1707.9181183413227,427.84464393857616,0
n0,n35,0.0,460.24758608733987,129.08742467679787,31.87859822272398,0
n1,n13,301.4836326757451,245.27663876853455,417.6728467670722,431.2002200609216,0
n1,n35,301.4836326757451,245.27663876853455,129.08742467679787,31.87859822272398,0
n10,n11,704.5804182895153,466.43458191982245,728.0698886904958,521.8026505435269,0
n10,n12,704.5804182895153,466.43458191982245,694.513502404551,387.57685538540227,0
n10,n13,704.5804182895153,466.43458191982245,417.6728467670722,431.2002200609216,0
n10,n20,704.5804182895153,466.43458191982245,360.6268650709259,694.6183836869943,0
n10,n22,704.5804182895153,466.43458191982245,583.7772401479209,662.7397229596602,0
n10,n9,704.5804182895153,466.43458191982245,1033.4335664242567,442.94504901832755,0
n11,n9,728.0698886904958,521.8026505435269,1033.4335664242567,442.94504901832755,0
n12,n13,694.513502404551,387.57685538540227,417.6728467670722,431.2002200609216,0
n13,n14,417.6728467670722,431.2002200609216,290.1583288628594,43.62336467551954,0
n13,n18,417.6728467670722,431.2002200609216,119.02050879183366,639.2501900581652,0
n13,n27,417.6728467670722,431.2002200609216,1316.9855618202578,335.56442539274985,0
n13,n3,417.6728467670722,431.2002200609216,521.6978317615977,174.49345870207793,0
n14,n15,290.1583288628594,43.62336467551954,159.28823484039717,0.0,0
n15,n2,159.28823484039717,0.0,429.94189464129704,106.33193576940214,0
n15,n20,159.28823484039717,0.0,360.6268650709259,694.6183836869943,0
n15,n28,159.28823484039717,0.0,1298.52945560894,285.22972095461165,0
n15,n35,159.28823484039717,0.0,129.08742467679787,31.87859822272398,1
n16,n17,100.56446508102992,95.63585717278224,63.65237766433789,156.03741499127423,0
n16,n18,100.56446508102992,95.63585717278224,119.02050879183366,639.2501900581652,0
n16,n35,100.56446508102992,95.63585717278224,129.08742467679787,31.87859822272398,0
n17,n35,63.65237766433789,156.03741499127423,129.08742467679787,31.87859822272398,0
n18,n19,119.02050879183366,639.2501900581652,125.73178604984192,681.1958291750742,0
n18,n20,119.02050879183366,639.2501900581652,360.6268650709259,694.6183836869943,0
n18,n24,119.02050879183366,639.2501900581652,1087.1239094893508,916.0909081961582,0
n19,n24,125.73178604984192,681.1958291750742,1087.1239094893508,916.0909081961582,0
n2,n3,429.94189464129704,106.33193576940214,521.6978317615977,174.49345870207793,0
n20,n21,360.6268650709259,694.6183836869943,415.99499619924086,775.153835780025,1
n21,n22,415.99499619924086,775.153835780025,583.7772401479209,662.7397229596602,0
n21,n23,415.99499619924086,775.153835780025,1030.0779902978147,791.9320914276079,0
n23,n24,1030.0779902978147,791.9320914276079,1087.1239094893508,916.0909081961582,0
