node_id,x_m,y_m,role
n0,0.0,460.24758608733987,relay
n1,301.4836326757451,245.27663876853455,relay
n10,704.5804182895153,466.43458191982245,relay
n11,728.0698886904958,521.8026505435269,relay
n12,694.513502404551,387.57685538540227,relay
n13,417.6728467670722,431.2002200609216,relay
n14,290.1583288628594,43.62336467551954,relay
n15,159.28823484039717,0.0,relay
n16,100.56446508102992,95.63585717278224,relay
n17,63.65237766433789,156.03741499127423,relay
n18,119.02050879183366,639.2501900581652,relay
n19,125.73178604984192,681.1958291750742,relay
n2,429.94189464129704,106.33193576940214,relay
n20,360.6268650709259,694.6183836869943,relay
n21,415.99499619924086,775.153835780025,relay
n22,583.7772401479209,662.7397229596602,relay
n23,1030.0779902978147,791.9320914276079,relay
n24,1087.1239094893508,916.0909081961582,relay
n25,1696.1732893839167,843.9445839248708,relay
n26,1544.7667144542238,634.216763363892,relay
n27,1316.9855618202578,335.56442539274985,relay
n28,1298.52945560894,285.22972095461165,relay
n29,1761.6083363971961,307.04146579698187,relay
n3,521.6978317615977,174.49345870207793,relay
n30,1827.0433834104751,211.40554611958922,relay
n31,1801.8761249503698,166.10439338084885,relay
n32,1900.8675582495941,114.09190088358604,relay
n33,1707.9181183413227,427.84464393857616,relay
n34,2000.0,206.61713411446783,relay
n35,129.08742467679787,31.87859822272398,relay
n4,956.2538154627922,127.51445539550622,relay
n5,1103.9021651369335,208.04990748853692,relay
n6,978.0654978005521,275.16280506964745,relay
n7,1004.9106068284888,369.1208741792088,relay
n8,1080.4126322313425,364.08744748903194,relay
n9,1033.4335664242567,442.94504901832755,center
