source_id,target_id,x_m,y_m,damage_class,zone
s00,10781-r01,75.656,1420.493,5,0
s01,10781-r02,60.81,1454.932,4,0
s02,10781-r03,95.88,1451.108,4,0
s03,10860-r01,231.056,1480.083,3,0
s04,10860-r02,254.66,1484.477,4,0
s05,10860-r03,255.971,1491.415,5,0
s06,11046-r01,30.333,1449.342,5,0
s07,11046-r02,0.0,1446.251,5,0
s08,11046-r03,26.48,1420.641,5,0
s09,11113-r01,504.414,1502.328,4,0
s10,11125-r01,476.522,1506.739,5,0
s11,11160-r01,448.247,1506.401,3,0
s12,11160-r02,427.68,1494.151,3,0
s13,11160-r03,415.654,1499.306,3,0
s14,11160-r04,424.196,1511.803,3,0
s15,11177-r01,453.964,1483.287,3,0
s16,11177-r02,446.543,1467.402,3,0
s17,11275-r01,415.969,1454.876,4,0
s18,11275-r02,402.418,1459.233,3,0
s19,11275-r03,392.805,1470.467,3,0
s20,11337-r01,379.264,1401.703,3,0
s21,11337-r02,402.674,1436.667,4,0
s22,11451-r01,527.024,1450.486,3,0
s23,11451-r02,492.652,1472.122,4,0
s24,11451-r03,512.311,1430.694,3,0
s25,11452-r01,501.779,1486.626,3,0
s26,11725-r01,575.365,1452.487,3,0
s27,11725-r02,586.064,1439.304,3,0
s28,11725-r03,569.925,1431.568,4,0
s29,11999-r01,929.2,940.747,5,1
s30,11999-r02,937.998,894.118,5,1
s31,11999-r03,943.66,925.281,5,1
s32,11999-r04,953.897,936.28,4,1
s33,11999-r05,962.597,921.367,5,1
s34,12087-r01,646.801,1320.911,3,0
s35,12224-r01,610.792,1121.29,5,0
s36,12224-r02,587.191,1134.586,5,0
s37,12224-r03,620.952,1131.893,5,0
s38,12224-r04,596.006,1147.76,5,0
s39,12224-r05,632.042,1143.531,5,0
s40,13049-r02,947.673,941.784,4,1
s41,13049-r03,941.394,953.75,3,1
s42,13082-r01,1370.775,949.87,3,1
s43,13082-r02,1370.546,934.863,3,1
s44,13082-r03,1335.733,928.938,4,1
s45,13108-r01,1629.076,935.277,3,2
s46,13429-r01,1417.255,763.426,4,2
s47,13429-r02,1446.092,725.221,4,2
s48,13743-r01,1469.344,832.686,5,2
s49,13743-r02,1473.087,839.357,3,2
s50,13743-r03,1479.68,850.096,4,2
s51,13743-r04,1495.683,826.513,3,2
s52,14761-r01,1754.377,559.661,4,2
s53,14852-r01,1635.31,527.525,3,2
s54,14852-r02,1648.291,488.197,5,2
s55,14877-r01,1666.806,513.84,5,2
s56,14877-r02,1680.683,532.971,3,2
s57,14881-r01,1614.881,505.149,3,2
s58,15142-r01,1729.11,597.939,3,2
s59,15275-r01,1923.719,768.149,4,2
s60,15275-r02,1918.445,788.5,4,2
s61,15820-r01,2000.0,557.51,3,2
s62,15820-r02,1978.526,536.276,4,2
