method,slot,x_m,y_m
B1,0,1033.4335664242567,442.94504901832755
B1,1,1037.024939781831,491.9205241164948
B1,2,1040.6163131394053,540.8959992146621
B1,3,1044.2076864969797,589.8714743128293
B1,4,1047.799059854554,638.8469494109966
B1,5,1051.3904332121283,687.8224245091637
B1,6,1054.9818065697027,736.7978996073309
B1,7,1058.573179927277,785.7733747054983
B1,8,1062.1645532848513,834.7488498036655
B1,9,1065.7559266424255,883.7243249018327
B1,10,1069.3473,932.6998
B1,11,1069.3473,932.6998
B1,12,1069.3473,932.6998
B1,13,1069.3473,932.6998
B1,14,1069.3473,932.6998
B1,15,1069.3473,932.6998
B1,16,1069.3473,932.6998
B1,17,1069.3473,932.6998
B1,18,1069.3473,932.6998
B1,19,1069.3473,932.6998
B1,20,1069.3473,932.6998
B1,21,1069.3473,932.6998
B1,22,1069.3473,932.6998
B1,23,1069.3473,932.6998
B1,24,1069.3473,932.6998
B1,25,1069.3473,932.6998
B1,26,1069.3473,932.6998
B1,27,1069.3473,932.6998
B1,28,1069.3473,932.6998
B1,29,1069.3473,932.6998
B1,30,1069.3473,932.6998
B1,31,1069.3473,932.6998
B1,32,1069.3473,932.6998
B1,33,1069.3473,932.6998
B1,34,1069.3473,932.6998
B1,35,1115.1255632478633,912.8694435897436
B1,36,1160.9038264957264,893.0390871794872
B1,37,1206.6820897435898,873.2087307692308
B1,38,1252.460352991453,853.3783743589744
B1,39,1298.2386162393163,833.5480179487179
B1,40,1344.0168794871795,813.7176615384615
B1,41,1389.7951427350429,793.8873051282051
B1,42,1435.573405982906,774.0569487179487
B1,43,1481.3516692307694,754.2265923076923
B1,44,1527.1299324786328,734.3962358974359
B1,45,1572.908195726496,714.5658794871795
B1,46,1618.686458974359,694.7355230769231
B1,47,1664.4647222222225,674.9051666666667
B1,48,1664.4647222222225,674.9051666666667
B1,49,1664.4647222222225,674.9051666666667
B1,50,1664.4647222222225,674.9051666666667
B1,51,1664.4647222222225,674.9051666666667
B1,52,1664.4647222222225,674.9051666666667
B1,53,1664.4647222222225,674.9051666666667
B1,54,1664.4647222222225,674.9051666666667
B1,55,1664.4647222222225,674.9051666666667
B1,56,1664.4647222222225,674.9051666666667
B1,57,1664.4647222222225,674.9051666666667
B1,58,1664.4647222222225,674.9051666666667
B1,59,1664.4647222222225,674.9051666666667
B1,60,1664.4647222222225,674.9051666666667
B1,61,1664.4647222222225,674.9051666666667
B1,62,1664.4647222222225,674.9051666666667
B1,63,1664.4647222222225,674.9051666666667
B1,64,1664.4647222222225,674.9051666666667
B1,65,1664.4647222222225,674.9051666666667
B1,66,1664.4647222222225,674.9051666666667
B1,67,1664.4647222222225,674.9051666666667
B1,68,1664.4647222222225,674.9051666666667
B1,69,1664.4647222222225,674.9051666666667
B1,70,1664.4647222222225,674.9051666666667
B1,71,1664.4647222222225,674.9051666666667
B1,72,1622.3921838624342,699.5096258730159
B1,73,1580.3196455026457,724.1140850793652
B1,74,1538.2471071428574,748.7185442857143
B1,75,1496.174568783069,773.3230034920635
B1,76,1454.1020304232807,797.9274626984128
B1,77,1412.0294920634922,822.531921904762
B1,78,1369.956953703704,847.1363811111112
B1,79,1327.8844153439154,871.7408403174604
B1,80,1285.8118769841271,896.3452995238097
B1,81,1243.7393386243386,920.9497587301589
B1,82,1201.6668002645504,945.5542179365082
B1,83,1159.5942619047619,970.1586771428574
B1,84,1117.5217235449736,994.7631363492067
B1,85,1075.4491851851853,1019.3675955555558
B1,86,1033.3766468253968,1043.972054761905
B1,87,991.3041084656085,1068.5765139682544
B1,88,949.2315701058202,1093.1809731746034
B1,89,907.1590317460317,1117.7854323809527
B1,90,865.0864933862433,1142.389891587302
B1,91,823.0139550264549,1166.9943507936512
B1,92,780.9414166666666,1191.5988100000004
B1,93,738.8688783068783,1216.2032692063494
B1,94,696.7963399470898,1240.807728412699
B1,95,654.7238015873015,1265.412187619048
B1,96,612.6512632275133,1290.0166468253974
B1,97,570.5787248677248,1314.6211060317464
B1,98,528.5061865079363,1339.225565238096
B1,99,486.433648148148,1363.830024444445
B1,100,444.3611097883595,1388.4344836507942
B1,101,402.28857142857123,1413.0389428571434
B1,102,402.28857142857134,1413.0389428571434
B1,103,402.28857142857134,1413.0389428571434
B1,104,402.28857142857134,1413.0389428571434
B1,105,402.28857142857134,1413.0389428571434
B1,106,402.28857142857134,1413.0389428571434
B1,107,402.28857142857134,1413.0389428571434
B1,108,402.28857142857134,1413.0389428571434
B1,109,402.28857142857134,1413.0389428571434
B1,110,402.28857142857134,1413.0389428571434
B1,111,402.28857142857134,1413.0389428571434
B1,112,402.28857142857134,1413.0389428571434
B1,113,402.28857142857134,1413.0389428571434
B1,114,402.28857142857134,1413.0389428571434
B1,115,402.28857142857134,1413.0389428571434
B1,116,402.28857142857134,1413.0389428571434
B1,117,402.28857142857134,1413.0389428571434
B1,118,402.28857142857134,1413.0389428571434
B1,119,402.28857142857134,1413.0389428571434
B1,120,402.28857142857134,1413.0389428571434
B1,121,402.28857142857134,1413.0389428571434
B1,122,402.28857142857134,1413.0389428571434
B1,123,402.28857142857134,1413.0389428571434
B1,124,402.28857142857134,1413.0389428571434
B1,125,402.28857142857134,1413.0389428571434
B1,126,428.5862795533916,1372.6183639471928
B1,127,454.8839876782118,1332.197785037242
B1,128,481.181695803032,1291.7772061272915
B1,129,507.4794039278522,1251.3566272173407
B1,130,533.7771120526725,1210.9360483073901
B1,131,560.0748201774927,1170.5154693974396
B1,132,586.372528302313,1130.0948904874888
B1,133,612.6702364271331,1089.6743115775382
B1,134,638.9679445519533,1049.2537326675874
B1,135,665.2656526767736,1008.8331537576369
B1,136,691.5633608015937,968.4125748476861
B1,137,717.861068926414,927.9919959377355
B1,138,744.1587770512342,887.5714170277848
B1,139,770.4564851760545,847.1508381178342
B1,140,796.7541933008747,806.7302592078835
B1,141,823.051901425695,766.3096802979329
B1,142,849.3496095505152,725.8891013879821
B1,143,875.6473176753353,685.4685224780316
B1,144,901.9450258001556,645.0479435680809
B1,145,928.2427339249758,604.6273646581303
B1,146,954.540442049796,564.2067857481796
B1,147,980.8381501746162,523.7862068382288
B1,148,1007.1358582994364,483.3656279282783
B1,149,1033.4335664242567,442.9450490183276
B1,150,1033.4335664242567,442.94504901832755
P,0,1033.4335664242567,442.94504901832755
P,1,1037.024939781831,491.9205241164948
P,2,1040.6163131394053,540.8959992146621
P,3,1044.2076864969797,589.8714743128293
P,4,1047.799059854554,638.8469494109966
P,5,1051.3904332121283,687.8224245091637
P,6,1054.9818065697027,736.7978996073309
P,7,1058.573179927277,785.7733747054983
P,8,1062.1645532848513,834.7488498036655
P,9,1065.7559266424255,883.7243249018327
P,10,1069.3473,932.6998
P,11,1069.3473,932.6998
P,12,1069.3473,932.6998
P,13,1069.3473,932.6998
P,14,1069.3473,932.6998
P,15,1069.3473,932.6998
P,16,1069.3473,932.6998
P,17,1069.3473,932.6998
P,18,1069.3473,932.6998
P,19,1069.3473,932.6998
P,20,1069.3473,932.6998
P,21,1069.3473,932.6998
P,22,1115.1255632478633,912.8694435897436
P,23,1160.9038264957264,893.0390871794872
P,24,1206.6820897435898,873.2087307692308
P,25,1252.460352991453,853.3783743589744
P,26,1298.2386162393163,833.5480179487179
P,27,1344.0168794871795,813.7176615384615
P,28,1389.7951427350429,793.8873051282051
P,29,1435.573405982906,774.0569487179487
P,30,1481.3516692307694,754.2265923076923
P,31,1527.1299324786328,734.3962358974359
P,32,1572.908195726496,714.5658794871795
P,33,1618.686458974359,694.7355230769231
P,34,1664.4647222222225,674.9051666666667
P,35,1664.4647222222225,674.9051666666667
P,36,1664.4647222222225,674.9051666666667
P,37,1664.4647222222225,674.9051666666667
P,38,1664.4647222222225,674.9051666666667
P,39,1664.4647222222225,674.9051666666667
P,40,1664.4647222222225,674.9051666666667
P,41,1664.4647222222225,674.9051666666667
P,42,1664.4647222222225,674.9051666666667
P,43,1664.4647222222225,674.9051666666667
P,44,1664.4647222222225,674.9051666666667
P,45,1664.4647222222225,674.9051666666667
P,46,1664.4647222222225,674.9051666666667
P,47,1664.4647222222225,674.9051666666667
P,48,1664.4647222222225,674.9051666666667
P,49,1664.4647222222225,674.9051666666667
P,50,1664.4647222222225,674.9051666666667
P,51,1664.4647222222225,674.9051666666667
P,52,1664.4647222222225,674.9051666666667
P,53,1664.4647222222225,674.9051666666667
P,54,1622.3921838624342,699.5096258730159
P,55,1580.3196455026457,724.1140850793652
P,56,1538.2471071428574,748.7185442857143
