set_id,scenario_id,topology_id,variant,trajectory_method,realization_id,value,ratio,status,runtime_s,variables,rows,nonzeros
v0,Agis-r0,Agis,trajectory,B1,0,23.105980938500966,0.5776495234625242,optimal,1.3884324790005849,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,1,24.021493621381943,0.6005373405345485,optimal,1.5121171350001532,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,2,24.864712341968826,0.6216178085492207,optimal,1.4212411799999245,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,3,22.717903091268667,0.5679475772817166,optimal,1.2985871350001617,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,4,23.458778707111453,0.5864694676777863,optimal,1.4283765359996323,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,5,23.165218547568013,0.5791304636892003,optimal,1.798376045000623,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,6,23.709346966121824,0.5927336741530456,optimal,1.458581089999825,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,7,23.43459062426613,0.5858647656066532,optimal,1.7340797160004513,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,8,23.8406568999984,0.59601642249996,optimal,1.8536757909996595,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,9,23.541532041140552,0.5885383010285138,optimal,1.6960936220002623,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,10,23.918843721195636,0.5979710930298909,optimal,1.3679199150001295,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,11,23.646822005595276,0.5911705501398818,optimal,1.3113549910003712,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,12,23.769422746540023,0.5942355686635006,optimal,1.4406604779996997,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,13,22.801870982994124,0.5700467745748531,optimal,1.350868513000023,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,14,23.303217422414548,0.5825804355603637,optimal,1.4083954660000018,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,15,23.77027988307148,0.594256997076787,optimal,1.4354384090001986,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,16,23.82696620687393,0.5956741551718483,optimal,1.4741877779997594,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,17,23.013807533721533,0.5753451883430383,optimal,1.7757638350003617,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,18,23.273780486393466,0.5818445121598367,optimal,1.3451251300002696,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,19,22.99822226227469,0.5749555565568673,optimal,1.7833711809998931,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,20,23.314721623423186,0.5828680405855796,optimal,1.697031159999824,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,21,23.887130364715635,0.5971782591178909,optimal,1.8281846740001129,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,22,24.44957514861014,0.6112393787152535,optimal,1.331193278999308,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,23,23.522228001710893,0.5880557000427723,optimal,1.42054689699944,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,24,24.104876858025577,0.6026219214506394,optimal,1.372393474999626,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,25,22.6324178426658,0.565810446066645,optimal,1.336230846000035,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,26,22.668517391201068,0.5667129347800267,optimal,1.4259720899999593,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,27,24.13421655703498,0.6033554139258744,optimal,1.384785741000087,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,28,22.775940090808696,0.5693985022702174,optimal,1.3988100619999386,32479,55987,207334
v0,Agis-r0,Agis,trajectory,B1,29,23.063979964038626,0.5765994991009656,optimal,1.4996900739997727,32479,55987,207334
v0,Agis-r0,Agis,trajectory,TRAN,0,34.9374606639362,0.873436516598405,optimal,2.6755658679994667,32479,55987,207334
v0,Agis-r0,Agis,trajectory,TRAN,1,33.07321353887221,0.8268303384718052,optimal,2.803539838000688,32479,55987,207334
v0,Agis-r0,Agis,trajectory,TRAN,2,34.225486703932376,0.8556371675983094,optimal,2.4516538910002055,32479,55987,207334
v0,Agis-r0,Agis,trajectory,TRAN,3,34.20506489796963,0.8551266224492406,optimal,2.6430409470003724,32479,55987,207334
v0,Agis-r0,Agis,trajectory,TRAN,4,34.21063487020414,0.8552658717551035,optimal,2.8196946100006244,32479,55987,207334
v0,Agis-r0,Agis,trajectory,TRAN,5,33.59011944833585,0.8397529862083962,optimal,2.7474678510006925,32479,55987,207334
v0,Agis-r0,Agis,trajectory,TRAN,6,34.44533121258821,0.8611332803147052,optimal,2.7387588729998242,32479,55987,207334
