set_id,scenario_id,topology_id,method,realization_id,alert_count,timely_count,timely_ratio,source_count,connected_count,conn_ratio,shortfall,planning_runtime_s,evaluation_runtime_s,evaluate_calls
v0,Agis-r0,Agis,B1,0,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,1,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,2,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,3,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,4,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,5,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,6,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,7,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,8,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,9,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,10,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,11,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,12,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,13,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,14,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,15,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,16,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,17,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,18,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,19,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,20,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,21,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,22,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,23,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,24,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,25,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,26,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,27,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,28,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,B1,29,40,18,0.45,15,15,1.0,22.0,0.09306333400036237,0.018647366866662195,1
v0,Agis-r0,Agis,TRAN,0,40,21,0.525,15,15,1.0,17.592527211864457,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,1,40,19,0.475,15,15,1.0,17.331502512669946,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,2,40,23,0.575,15,15,1.0,15.922110363363084,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,3,40,21,0.525,15,15,1.0,17.481198597283893,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,4,40,21,0.525,15,15,1.0,17.98787509140486,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,5,40,21,0.525,15,15,1.0,17.29604929343086,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,6,40,21,0.525,15,15,1.0,17.697135272679247,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,7,40,21,0.525,15,15,1.0,16.29175856184592,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,8,40,20,0.5,15,15,1.0,18.147266333329547,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,9,40,21,0.525,15,15,1.0,16.57603377955708,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,10,40,20,0.5,15,15,1.0,17.09624896258451,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,11,40,22,0.55,15,15,1.0,15.415930783085585,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,12,40,21,0.525,15,15,1.0,16.734257271424,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,13,40,20,0.5,15,15,1.0,16.854899141227325,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,14,40,20,0.5,15,15,1.0,17.45784255255758,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,15,40,22,0.55,15,15,1.0,14.756074381626577,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,16,40,22,0.55,15,15,1.0,17.16164459137088,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,17,40,22,0.55,15,15,1.0,15.847118414900876,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,18,40,23,0.575,15,15,1.0,15.794554618362325,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,19,40,23,0.575,15,15,1.0,14.964989618316286,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,20,40,22,0.55,15,15,1.0,15.149342961587399,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,21,40,24,0.6,15,15,1.0,14.51819804341421,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,22,40,21,0.525,15,15,1.0,16.15226586025031,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,23,40,21,0.525,15,15,1.0,17.274289892538846,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,24,40,18,0.45,15,15,1.0,18.684785782608387,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,25,40,21,0.525,15,15,1.0,17.241957574793492,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,26,40,21,0.525,15,15,1.0,17.947366042728774,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,27,40,25,0.625,15,15,1.0,14.472331074164297,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,28,40,21,0.525,15,15,1.0,16.753281205901818,281.4840487749998,0.04558195170002364,1
v0,Agis-r0,Agis,TRAN,29,40,23,0.575,15,15,1.0,15.216029877607108,281.4840487749998,0.04558195170002364,1
v0,Agis-r1,Agis,B1,0,40,16,0.4,15,15,1.0,21.105712421088555,0.1008603039999798,0.030276921000010285,1
