set_id,scenario_id,topology_id,variant,trajectory_method,realization_id,value,ratio,status,runtime_s,variables,rows,nonzeros
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,0,16.290928505601098,0.40727321264002747,optimal,2.1261954619985772,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,1,15.558507827757518,0.38896269569393793,optimal,2.210369217005791,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,2,15.818850759688086,0.39547126899220214,optimal,2.068397778988583,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,3,14.860072488944724,0.3715018122236181,optimal,2.219951453007525,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,4,15.090710517125697,0.3772677629281424,optimal,2.894482395000523,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,5,15.46770872675116,0.38669271816877904,optimal,2.9988297279924154,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,6,15.28045009586979,0.38201125239674477,optimal,3.0066081620025216,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,7,15.555863493951078,0.38889658734877697,optimal,2.591450314008398,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,8,15.021541683477574,0.3755385420869394,optimal,2.002516790002119,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,9,15.38348496945341,0.38458712423633523,optimal,1.908095640988904,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,10,14.587672355807014,0.36469180889517533,optimal,1.8753237140044803,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,11,15.601495807699427,0.3900373951924857,optimal,1.7534021059982479,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,12,15.266066023243765,0.3816516505810941,optimal,1.8764201760059223,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,13,15.69161552091406,0.39229038802285154,optimal,1.7542238400055794,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,14,14.72231056425123,0.36805776410628077,optimal,1.677307402002043,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,15,14.44136139398027,0.36103403484950675,optimal,1.7619518150022486,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,16,14.653244166247395,0.36633110415618486,optimal,1.9680811199941672,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,17,15.879876880048945,0.3969969220012236,optimal,2.0626774249976734,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,18,14.95110499112004,0.373777624778001,optimal,1.7520113000064157,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,19,15.30036541902412,0.382509135475603,optimal,1.6908133940014523,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,20,14.95729252103173,0.3739323130257933,optimal,1.804419002000941,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,21,14.50449562184955,0.3626123905462387,optimal,1.7827956330002053,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,22,15.048616286252702,0.37621540715631757,optimal,1.7912372569990112,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,23,15.566462056672291,0.3891615514168073,optimal,1.8378886989958119,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,24,15.462632050460385,0.38656580126150963,optimal,1.710981794007239,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,25,15.871944512896615,0.39679861282241535,optimal,2.1297072589950403,42780,67267,245600
v0,Bbnplanet-r0,Bbnplanet,trajectory,B1,26,14.464784547819864,0.3616196136954966,optimal,2.0434348109993152,42780,67267,245600
