set_id,scenario_id,topology_id,variant,trajectory_method,realization_id,value,ratio,status,runtime_s,variables,rows,nonzeros
sens-alerts20,Agis-r0,Agis,trajectory,B1,0,9.45222487858251,0.47261124392912546,optimal,0.5225176419771742,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,1,10.44480883927302,0.5222404419636509,optimal,0.557176074013114,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,2,11.212320882389795,0.5606160441194897,optimal,0.5535948330070823,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,3,9.279974795078564,0.4639987397539282,optimal,0.524960860988358,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,4,9.893951044775223,0.49469755223876116,optimal,0.5178789749916177,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,5,9.80039074600773,0.4900195373003865,optimal,0.5229386379942298,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,6,9.942150267865811,0.49710751339329057,optimal,0.5087282470194623,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,7,9.95414754233638,0.49770737711681895,optimal,0.4945506789954379,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,8,10.121728097963528,0.5060864048981764,optimal,0.5223414239881095,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,9,10.40314998255161,0.5201574991275806,optimal,0.5180850609904155,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,10,10.569314374052698,0.5284657187026349,optimal,0.5680309440067504,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,11,10.031086570464065,0.5015543285232033,optimal,0.5037609669961967,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,12,10.04380258422427,0.5021901292112135,optimal,0.5031099070038181,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,13,9.639788045730597,0.48198940228652987,optimal,0.5074497149907984,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,14,10.299763292767853,0.5149881646383927,optimal,0.5015199670160655,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,15,10.145390677567299,0.5072695338783649,optimal,0.529582086019218,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,16,10.427302303973054,0.5213651151986527,optimal,0.5452225979825016,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,17,9.95332162322453,0.4976660811612265,optimal,0.5348241649917327,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,18,9.647619227431296,0.4823809613715648,optimal,0.5256363699736539,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,19,9.333263748385747,0.46666318741928736,optimal,0.5396751920052338,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,20,10.27815027271558,0.513907513635779,optimal,0.5409121389966458,17315,32410,114242
sens-alerts20,Agis-r0,Agis,trajectory,B1,21,10.681125457041878,0.5340562728520939,optimal,0.5237732509849593,17315,32410,114242
